f_mult	d_mult	d_div	1+d_div	f_div	1+f_div
2.40000004868674745170e+34	2.39999999999999975676e+304	5.00000000000000015187e-14	1.00000000000004996004e+00	4.99999991225835022091e-14	1.00000000000000000000e+00
4.80000009737349490339e+34	4.79999999999999951351e+304	2.50000000000000007593e-14	1.00000000000002509104e+00	2.49999995612917511045e-14	1.00000000000000000000e+00
9.60000019474698980678e+34	9.59999999999999902702e+304	1.25000000000000003797e-14	1.00000000000001243450e+00	1.24999997806458755523e-14	1.00000000000000000000e+00
1.92000003894939796136e+35	1.91999999999999980540e+305	6.25000000000000018984e-15	1.00000000000000621725e+00	6.24999989032293777613e-15	1.00000000000000000000e+00
3.84000007789879592271e+35	3.83999999999999961081e+305	3.12500000000000009492e-15	1.00000000000000310862e+00	3.12499994516146888807e-15	1.00000000000000000000e+00
7.68000015579759184543e+35	7.67999999999999922162e+305	1.56250000000000004746e-15	1.00000000000000155431e+00	1.56249997258073444403e-15	1.00000000000000000000e+00
1.53600003115951836909e+36	1.53599999999999984432e+306	7.81250000000000023729e-16	1.00000000000000088818e+00	7.81249986290367222017e-16	1.00000000000000000000e+00
3.07200006231903673817e+36	3.07199999999999968865e+306	3.90625000000000011865e-16	1.00000000000000044409e+00	3.90624993145183611008e-16	1.00000000000000000000e+00
6.14400012463807347634e+36	6.14399999999999937729e+306	1.95312500000000005932e-16	1.00000000000000022204e+00	1.95312496572591805504e-16	1.00000000000000000000e+00
1.22880002492761469527e+37	1.22879999999999987546e+307	9.76562500000000029662e-17	1.00000000000000000000e+00	9.76562482862959027521e-17	1.00000000000000000000e+00
2.45760004985522939054e+37	2.45759999999999975092e+307	4.88281250000000014831e-17	1.00000000000000000000e+00	4.88281241431479513760e-17	1.00000000000000000000e+00
4.91520009971045878107e+37	4.91519999999999950184e+307	2.44140625000000007415e-17	1.00000000000000000000e+00	2.44140620715739756880e-17	1.00000000000000000000e+00
9.83040019942091756215e+37	9.83039999999999900367e+307	1.22070312500000003708e-17	1.00000000000000000000e+00	1.22070310357869878440e-17	1.00000000000000000000e+00
1.96608003988418351243e+38	inf	6.10351562500000018539e-18	1.00000000000000000000e+00	6.10351551789349392200e-18	1.00000000000000000000e+00
inf	inf	3.05175781250000009269e-18	1.00000000000000000000e+00	3.05175775894674696100e-18	1.00000000000000000000e+00
inf	inf	1.52587890625000004635e-18	1.00000000000000000000e+00	1.52587887947337348050e-18	1.00000000000000000000e+00
inf	inf	7.62939453125000023173e-19	1.00000000000000000000e+00	7.62939439736686740251e-19	1.00000000000000000000e+00
inf	inf	3.81469726562500011587e-19	1.00000000000000000000e+00	3.81469719868343370125e-19	1.00000000000000000000e+00
inf	inf	1.90734863281250005793e-19	1.00000000000000000000e+00	1.90734859934171685063e-19	1.00000000000000000000e+00
inf	inf	9.53674316406250028967e-20	1.00000000000000000000e+00	9.53674299670858425313e-20	1.00000000000000000000e+00
inf	inf	4.76837158203125014483e-20	1.00000000000000000000e+00	4.76837149835429212657e-20	1.00000000000000000000e+00
inf	inf	2.38418579101562507242e-20	1.00000000000000000000e+00	2.38418574917714606328e-20	1.00000000000000000000e+00
inf	inf	1.19209289550781253621e-20	1.00000000000000000000e+00	1.19209287458857303164e-20	1.00000000000000000000e+00
inf	inf	5.96046447753906268104e-21	1.00000000000000000000e+00	5.96046437294286515821e-21	1.00000000000000000000e+00
