t	y1	y2
0	0	1
0.001	0.001	1
0.002	0.002	0.999998
0.003	0.003	0.999996
0.004	0.00399999	0.999992
0.005	0.00499998	0.999988
0.006	0.00599997	0.999982
0.007	0.00699994	0.999976
0.008	0.00799992	0.999968
0.009	0.00899988	0.99996
0.01	0.00999984	0.99995
0.011	0.0109998	0.99994
0.012	0.0119997	0.999928
0.013	0.0129996	0.999916
0.014	0.0139995	0.999902
0.015	0.0149994	0.999888
0.016	0.0159993	0.999872
0.017	0.0169992	0.999856
0.018	0.017999	0.999838
0.019	0.0189989	0.99982
0.02	0.0199987	0.9998
0.021	0.0209985	0.99978
0.022	0.0219982	0.999758
0.023	0.022998	0.999736
0.024	0.0239977	0.999712
0.025	0.0249974	0.999688
0.026	0.0259971	0.999662
0.027	0.0269967	0.999636
0.028	0.0279963	0.999608
0.029	0.0289959	0.99958
0.03	0.0299955	0.99955
0.031	0.030995	0.99952
0.032	0.0319945	0.999488
0.033	0.032994	0.999456
0.034	0.0339935	0.999422
0.035	0.0349929	0.999388
0.036	0.0359922	0.999352
0.037	0.0369916	0.999316
0.038	0.0379909	0.999278
0.039	0.0389901	0.99924
0.04	0.0399893	0.9992
0.041	0.0409885	0.99916
0.042	0.0419877	0.999118
0.043	0.0429868	0.999076
0.044	0.0439858	0.999032
0.045	0.0449848	0.998988
0.046	0.0459838	0.998942
0.047	0.0469827	0.998896
0.048	0.0479816	0.998848
0.049	0.0489804	0.9988
0.05	0.0499792	0.998751
0.051	0.0509779	0.9987
0.052	0.0519766	0.998649
0.053	0.0529752	0.998596
0.054	0.0539738	0.998543
0.055	0.0549723	0.998488
0.056	0.0559707	0.998433
0.057	0.0569692	0.998376
0.058	0.0579675	0.998319
0.059	0.0589658	0.998261
0.06	0.059964	0.998201
0.061	0.0609622	0.998141
0.062	0.0619603	0.998079
0.063	0.0629584	0.998017
0.064	0.0639563	0.997953
0.065	0.0649543	0.997889
0.066	0.0659521	0.997824
0.067	0.0669499	0.997757
0.068	0.0679476	0.99769
0.069	0.0689453	0.997621
0.07	0.0699429	0.997552
0.071	0.0709404	0.997482
0.072	0.0719378	0.99741
0.073	0.0729352	0.997338
0.074	0.0739325	0.997264
0.075	0.0749297	0.99719
0.076	0.0759269	0.997115
0.077	0.076924	0.997038
0.078	0.077921	0.996961
0.079	0.0789179	0.996883
0.08	0.0799147	0.996803
0.081	0.0809115	0.996723
0.082	0.0819082	0.996642
0.083	0.0829048	0.996559
0.084	0.0839013	0.996476
0.085	0.0848977	0.996392
0.086	0.0858941	0.996307
0.087	0.0868903	0.99622
0.088	0.0878865	0.996133
0.089	0.0888826	0.996045
0.09	0.0898786	0.995955
0.091	0.0908745	0.995865
0.092	0.0918703	0.995774
0.093	0.0928661	0.995682
0.094	0.0938617	0.995588
0.095	0.0948572	0.995494
0.096	0.0958527	0.995399
0.097	0.096848	0.995303
0.098	0.0978433	0.995206
0.099	0.0988385	0.995107
0.1	0.0998335	0.995008
0.101	0.100828	0.994908
0.102	0.101823	0.994807
0.103	0.102818	0.994705
0.104	0.103813	0.994602
0.105	0.104807	0.994498
0.106	0.105802	0.994392
0.107	0.106796	0.994286
0.108	0.10779	0.994179
0.109	0.108784	0.994071
0.11	0.109778	0.993962
0.111	0.110772	0.993852
0.112	0.111766	0.993741
0.113	0.11276	0.993629
0.114	0.113753	0.993516
0.115	0.114747	0.993402
0.116	0.11574	0.993287
0.117	0.116733	0.993171
0.118	0.117727	0.993054
0.119	0.11872	0.992936
0.12	0.119712	0.992817
0.121	0.120705	0.992697
0.122	0.121698	0.992576
0.123	0.12269	0.992455
0.124	0.123683	0.992332
0.125	0.124675	0.992208
0.126	0.125667	0.992083
0.127	0.126659	0.991957
0.128	0.127651	0.99183
0.129	0.128643	0.991702
0.13	0.129634	0.991574
0.131	0.130626	0.991444
0.132	0.131617	0.991313
0.133	0.132609	0.991181
0.134	0.1336	0.991049
0.135	0.134591	0.990915
0.136	0.135582	0.99078
0.137	0.136572	0.990645
0.138	0.137563	0.990508
0.139	0.138553	0.99037
0.14	0.139544	0.990232
0.141	0.140534	0.990092
0.142	0.141524	0.989952
0.143	0.142514	0.98981
0.144	0.143503	0.989668
0.145	0.144493	0.989524
0.146	0.145482	0.98938
0.147	0.146472	0.989234
0.148	0.147461	0.989088
0.149	0.14845	0.98894
0.15	0.149439	0.988792
0.151	0.150428	0.988643
0.152	0.151416	0.988492
0.153	0.152404	0.988341
0.154	0.153393	0.988189
0.155	0.154381	0.988035
0.156	0.155369	0.987881
