t	y1	y2
0	0	1
0.001	0.0009995	0.999
0.002	0.001998	0.998001
0.003	0.0029955	0.997003
0.004	0.00399201	0.996005
0.005	0.00498751	0.995008
0.006	0.00598202	0.994012
0.007	0.00697554	0.993016
0.008	0.00796806	0.992021
0.009	0.00895958	0.991027
0.01	0.00995011	0.990033
0.011	0.0109396	0.98904
0.012	0.0119282	0.988048
0.013	0.0129157	0.987056
0.014	0.0139023	0.986065
0.015	0.0148879	0.985075
0.016	0.0158725	0.984086
0.017	0.016856	0.983097
0.018	0.0178386	0.982108
0.019	0.0188203	0.981121
0.02	0.0198009	0.980134
0.021	0.0207805	0.979148
0.022	0.0217592	0.978162
0.023	0.0227369	0.977177
0.024	0.0237135	0.976193
0.025	0.0246892	0.975209
0.026	0.025664	0.974226
0.027	0.0266377	0.973244
0.028	0.0276104	0.972263
0.029	0.0285822	0.971282
0.03	0.029553	0.970301
0.031	0.0305228	0.969322
0.032	0.0314917	0.968343
0.033	0.0324595	0.967365
0.034	0.0334264	0.966387
0.035	0.0343923	0.965411
0.036	0.0353572	0.964435
0.037	0.0363211	0.963459
0.038	0.0372841	0.962484
0.039	0.0382461	0.96151
0.04	0.0392071	0.960537
0.041	0.0401672	0.959564
0.042	0.0411263	0.958592
0.043	0.0420844	0.957621
0.044	0.0430415	0.95665
0.045	0.0439977	0.95568
0.046	0.0449529	0.954711
0.047	0.0459071	0.953742
0.048	0.0468604	0.952774
0.049	0.0478126	0.951807
0.05	0.048764	0.95084
0.051	0.0497143	0.949874
0.052	0.0506637	0.948909
0.053	0.0516121	0.947944
0.054	0.0525596	0.946981
0.055	0.0535061	0.946017
0.056	0.0544516	0.945055
0.057	0.0553962	0.944093
0.058	0.0563398	0.943132
0.059	0.0572825	0.942172
0.06	0.0582242	0.941212
0.061	0.0591649	0.940253
0.062	0.0601047	0.939294
0.063	0.0610435	0.938337
0.064	0.0619813	0.93738
0.065	0.0629183	0.936423
0.066	0.0638542	0.935468
0.067	0.0647892	0.934513
0.068	0.0657232	0.933558
0.069	0.0666563	0.932605
0.07	0.0675884	0.931652
0.071	0.0685196	0.9307
0.072	0.0694498	0.929748
0.073	0.0703791	0.928797
0.074	0.0713074	0.927847
0.075	0.0722348	0.926898
0.076	0.0731612	0.925949
0.077	0.0740867	0.925001
0.078	0.0750112	0.924054
0.079	0.0759348	0.923107
0.08	0.0768574	0.922161
0.081	0.0777791	0.921216
0.082	0.0786999	0.920271
0.083	0.0796197	0.919327
0.084	0.0805385	0.918384
0.085	0.0814564	0.917442
0.086	0.0823734	0.9165
0.087	0.0832894	0.915559
0.088	0.0842045	0.914618
0.089	0.0851187	0.913678
0.09	0.0860319	0.912739
0.091	0.0869442	0.911801
0.092	0.0878555	0.910863
0.093	0.0887659	0.909926
0.094	0.0896753	0.90899
0.095	0.0905839	0.908055
0.096	0.0914914	0.90712
0.097	0.0923981	0.906186
0.098	0.0933038	0.905252
0.099	0.0942086	0.904319
0.1	0.0951125	0.903387
0.101	0.0960154	0.902456
0.102	0.0969174	0.901525
0.103	0.0978184	0.900595
0.104	0.0987186	0.899666
0.105	0.0996178	0.898737
0.106	0.100516	0.897809
0.107	0.101413	0.896882
0.108	0.10231	0.895956
0.109	0.103205	0.89503
0.11	0.1041	0.894105
0.111	0.104993	0.89318
0.112	0.105886	0.892257
0.113	0.106778	0.891334
0.114	0.107669	0.890411
0.115	0.108559	0.88949
0.116	0.109448	0.888569
0.117	0.110336	0.887649
0.118	0.111223	0.886729
0.119	0.112109	0.88581
0.12	0.112995	0.884892
0.121	0.113879	0.883975
0.122	0.114763	0.883058
0.123	0.115645	0.882142
0.124	0.116527	0.881227
0.125	0.117408	0.880312
0.126	0.118288	0.879399
0.127	0.119167	0.878485
0.128	0.120045	0.877573
0.129	0.120922	0.876661
0.13	0.121798	0.87575
0.131	0.122673	0.87484
0.132	0.123548	0.87393
0.133	0.124421	0.873021
0.134	0.125294	0.872113
0.135	0.126165	0.871206
0.136	0.127036	0.870299
0.137	0.127906	0.869393
0.138	0.128775	0.868487
0.139	0.129643	0.867583
0.14	0.13051	0.866679
0.141	0.131376	0.865775
0.142	0.132242	0.864873
0.143	0.133106	0.863971
0.144	0.13397	0.86307
0.145	0.134832	0.862169
0.146	0.135694	0.86127
0.147	0.136555	0.860371
0.148	0.137415	0.859472
0.149	0.138274	0.858575
0.15	0.139132	0.857678
0.151	0.139989	0.856782
0.152	0.140845	0.855886
0.153	0.141701	0.854991
0.154	0.142555	0.854097
0.155	0.143409	0.853204
0.156	0.144262	0.852311
0.157	0.145114	0.85142
0.158	0.145965	0.850528
0.159	0.146815	0.849638
0.16	0.147664	0.848748
0.161	0.148512	0.847859
0.162	0.14936	0.846971
0.163	0.150206	0.846083
0.164	0.151052	0.845196
0.165	0.151896	0.84431
0.166	0.15274	0.843424
0.167	0.153583	0.84254
0.168	0.154425	0.841656
0.169	0.155267	0.840772
0.17	0.156107	0.83989
0.171	0.156946	0.839008
0.172	0.157785	0.838127
0.173	0.158623	0.837246
0.174	0.159459	0.836366
0.175	0.160295	0.835487
0.176	0.16113	0.834609
0.177	0.161965	0.833731
0.178	0.162798	0.832854
0.179	0.16363	0.831978
0.18	0.164462	0.831103
0.181	0.165293	0.830228
0.182	0.166122	0.829354
0.183	0.166951	0.828481
0.184	0.167779	0.827608
0.185	0.168606	0.826736
0.186	0.169433	0.825865
0.187	0.170258	0.824995
0.188	0.171083	0.824125
0.189	0.171906	0.823256
0.19	0.172729	0.822388
0.191	0.173551	0.82152
0.192	0.174372	0.820653
0.193	0.175192	0.819787
0.194	0.176012	0.818922
0.195	0.17683	0.818057
0.196	0.177648	0.817193
0.197	0.178465	0.81633
0.198	0.179281	0.815467
0.199	0.180096	0.814605
0.2	0.18091	0.813744
0.201	0.181723	0.812884
0.202	0.182536	0.812024
0.203	0.183347	0.811165
0.204	0.184158	0.810307
0.205	0.184968	0.80945
0.206	0.185777	0.808593
0.207	0.186585	0.807737
0.208	0.187392	0.806881
0.209	0.188199	0.806027
0.21	0.189004	0.805173
0.211	0.189809	0.80432
0.212	0.190613	0.803467
0.213	0.191416	0.802616
0.214	0.192218	0.801765
0.215	0.19302	0.800914
0.216	0.19382	0.800065
0.217	0.19462	0.799216
0.218	0.195418	0.798368
0.219	0.196216	0.797521
0.22	0.197014	0.796674
0.221	0.19781	0.795828
0.222	0.198605	0.794983
0.223	0.1994	0.794138
0.224	0.200193	0.793295
0.225	0.200986	0.792452
0.226	0.201778	0.791609
0.227	0.20257	0.790768
0.228	0.20336	0.789927
0.229	0.204149	0.789087
0.23	0.204938	0.788248
0.231	0.205726	0.787409
0.232	0.206513	0.786571
0.233	0.207299	0.785734
0.234	0.208084	0.784897
0.235	0.208869	0.784062
0.236	0.209652	0.783226
0.237	0.210435	0.782392
0.238	0.211217	0.781559
0.239	0.211998	0.780726
0.24	0.212779	0.779894
0.241	0.213558	0.779062
0.242	0.214337	0.778232
0.243	0.215115	0.777402
0.244	0.215892	0.776572
0.245	0.216668	0.775744
0.246	0.217443	0.774916
0.247	0.218218	0.774089
0.248	0.218991	0.773263
0.249	0.219764	0.772437
0.25	0.220536	0.771613
0.251	0.221307	0.770788
0.252	0.222078	0.769965
0.253	0.222847	0.769142
0.254	0.223616	0.76832
0.255	0.224384	0.767499
0.256	0.225151	0.766679
0.257	0.225917	0.765859
0.258	0.226683	0.76504
0.259	0.227447	0.764222
0.26	0.228211	0.763404
0.261	0.228974	0.762588
0.262	0.229736	0.761771
