t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0	1	0	0	-1	0	0	0	0	0	0	0.15	-0.15	0	-0.15	0.15	0	0	0
0.01	1	0.0015	-0.0015	-1	-0.0015	0.0015	0	0	0	-0.00375	0.15	-0.15	0.00375	-0.15	0.15	0	0	0
0.02	0.999962	0.003	-0.003	-0.999962	-0.003	0.003	0	0	0	-0.00749997	0.149994	-0.149994	0.00749997	-0.149994	0.149994	0	0	0
0.03	0.999888	0.00449994	-0.00449994	-0.999888	-0.00449994	0.00449994	0	0	0	-0.0112502	0.149983	-0.149983	0.0112502	-0.149983	0.149983	0	0	0
0.04	0.999775	0.00599977	-0.00599977	-0.999775	-0.00599977	0.00599977	0	0	0	-0.0150008	0.149966	-0.149966	0.0150008	-0.149966	0.149966	0	0	0
0.05	0.999625	0.00749944	-0.00749944	-0.999625	-0.00749944	0.00749944	0	0	0	-0.0187521	0.149944	-0.149944	0.0187521	-0.149944	0.149944	0	0	0
0.06	0.999437	0.00899887	-0.00899887	-0.999437	-0.00899887	0.00899887	0	0	0	-0.0225042	0.149916	-0.149916	0.0225042	-0.149916	0.149916	0	0	0
0.07	0.999212	0.010498	-0.010498	-0.999212	-0.010498	0.010498	0	0	0	-0.0262575	0.149882	-0.149882	0.0262575	-0.149882	0.149882	0	0	0
0.08	0.99895	0.0119968	-0.0119968	-0.99895	-0.0119968	0.0119968	0	0	0	-0.0300122	0.149842	-0.149842	0.0300122	-0.149842	0.149842	0	0	0
0.09	0.99865	0.0134953	-0.0134953	-0.99865	-0.0134953	0.0134953	0	0	0	-0.0337685	0.149797	-0.149797	0.0337685	-0.149797	0.149797	0	0	0
0.1	0.998312	0.0149932	-0.0149932	-0.998312	-0.0149932	0.0149932	0	0	0	-0.0375266	0.149746	-0.149746	0.0375266	-0.149746	0.149746	0	0	0
0.11	0.997937	0.0164907	-0.0164907	-0.997937	-0.0164907	0.0164907	0	0	0	-0.0412867	0.14969	-0.14969	0.0412867	-0.14969	0.14969	0	0	0
