t	y1
0	1
0.001	0.999
0.002	0.997999
0.003	0.996997
0.004	0.995994
0.005	0.99499
0.006	0.993985
0.007	0.992979
0.008	0.991972
0.009	0.990964
0.01	0.989955
0.011	0.988945
0.012	0.987934
0.013	0.986922
0.014	0.985909
0.015	0.984896
0.016	0.983881
0.017	0.982865
0.018	0.981848
0.019	0.98083
0.02	0.979811
0.021	0.978792
0.022	0.977771
0.023	0.976749
0.024	0.975726
0.025	0.974703
0.026	0.973678
0.027	0.972652
0.028	0.971626
0.029	0.970598
0.03	0.96957
0.031	0.96854
0.032	0.967509
0.033	0.966478
0.034	0.965446
0.035	0.964412
0.036	0.963378
0.037	0.962343
0.038	0.961306
0.039	0.960269
0.04	0.959231
0.041	0.958192
0.042	0.957151
0.043	0.95611
0.044	0.955068
0.045	0.954025
0.046	0.952981
0.047	0.951936
0.048	0.950891
0.049	0.949844
0.05	0.948796
0.051	0.947747
0.052	0.946698
0.053	0.945647
0.054	0.944596
0.055	0.943543
0.056	0.94249
0.057	0.941435
0.058	0.94038
0.059	0.939324
0.06	0.938266
0.061	0.937208
0.062	0.936149
0.063	0.935089
0.064	0.934028
0.065	0.932966
0.066	0.931904
0.067	0.93084
0.068	0.929775
0.069	0.92871
0.07	0.927643
0.071	0.926576
0.072	0.925507
0.073	0.924438
0.074	0.923368
0.075	0.922297
0.076	0.921224
0.077	0.920151
0.078	0.919077
0.079	0.918003
0.08	0.916927
0.081	0.91585
0.082	0.914773
0.083	0.913694
0.084	0.912615
0.085	0.911534
0.086	0.910453
0.087	0.909371
0.088	0.908288
0.089	0.907204
0.09	0.906119
0.091	0.905033
0.092	0.903947
0.093	0.902859
0.094	0.90177
0.095	0.900681
0.096	0.899591
0.097	0.8985
0.098	0.897407
0.099	0.896314
0.1	0.895221
0.101	0.894126
0.102	0.89303
0.103	0.891933
0.104	0.890836
0.105	0.889738
0.106	0.888638
0.107	0.887538
0.108	0.886437
0.109	0.885335
0.11	0.884232
0.111	0.883129
0.112	0.882024
0.113	0.880919
0.114	0.879812
0.115	0.878705
0.116	0.877597
0.117	0.876488
0.118	0.875378
0.119	0.874268
0.12	0.873156
0.121	0.872044
0.122	0.87093
0.123	0.869816
0.124	0.868701
0.125	0.867585
0.126	0.866468
0.127	0.86535
0.128	0.864232
0.129	0.863112
0.13	0.861992
0.131	0.860871
0.132	0.859749
0.133	0.858626
0.134	0.857502
0.135	0.856378
0.136	0.855252
0.137	0.854126
0.138	0.852999
0.139	0.851871
0.14	0.850742
0.141	0.849613
0.142	0.848482
0.143	0.847351
0.144	0.846218
0.145	0.845085
0.146	0.843951
0.147	0.842817
0.148	0.841681
