t	y1
0	0
0.001	0.002
0.002	0.004
0.003	0.00599999
0.004	0.00799999
0.005	0.00999997
0.006	0.0119999
0.007	0.0139999
0.008	0.0159999
0.009	0.0179998
0.01	0.0199997
0.011	0.0219996
0.012	0.0239995
0.013	0.0259993
0.014	0.0279992
0.015	0.029999
0.016	0.0319988
0.017	0.0339985
0.018	0.0359982
0.019	0.0379979
0.02	0.0399975
0.021	0.0419971
0.022	0.0439967
0.023	0.0459962
0.024	0.0479957
0.025	0.0499951
0.026	0.0519945
0.027	0.0539938
0.028	0.0559931
0.029	0.0579923
0.03	0.0599914
0.031	0.0619905
0.032	0.0639896
0.033	0.0659886
0.034	0.0679875
0.035	0.0699863
0.036	0.0719851
0.037	0.0739838
0.038	0.0759824
0.039	0.077981
0.04	0.0799795
0.041	0.0819779
0.042	0.0839762
0.043	0.0859744
0.044	0.0879726
0.045	0.0899706
0.046	0.0919686
0.047	0.0939665
0.048	0.0959643
0.049	0.097962
0.05	0.0999596
0.051	0.101957
0.052	0.103954
0.053	0.105952
0.054	0.107949
0.055	0.109946
0.056	0.111943
0.057	0.11394
0.058	0.115937
0.059	0.117933
0.06	0.11993
0.061	0.121926
0.062	0.123922
0.063	0.125919
0.064	0.127915
0.065	0.129911
0.066	0.131906
0.067	0.133902
0.068	0.135898
0.069	0.137893
0.07	0.139888
0.071	0.141883
0.072	0.143878
0.073	0.145873
0.074	0.147868
0.075	0.149862
0.076	0.151857
0.077	0.153851
0.078	0.155845
0.079	0.157839
0.08	0.159833
0.081	0.161826
0.082	0.16382
0.083	0.165813
0.084	0.167806
0.085	0.169799
0.086	0.171792
0.087	0.173784
0.088	0.175777
0.089	0.177769
0.09	0.179761
0.091	0.181753
0.092	0.183745
0.093	0.185736
0.094	0.187728
0.095	0.189719
0.096	0.19171
0.097	0.193701
0.098	0.195691
0.099	0.197682
0.1	0.199672
0.101	0.201662
0.102	0.203652
0.103	0.205641
0.104	0.207631
0.105	0.20962
0.106	0.211609
0.107	0.213598
0.108	0.215586
0.109	0.217574
0.11	0.219563
0.111	0.221551
0.112	0.223538
0.113	0.225526
0.114	0.227513
0.115	0.2295
0.116	0.231487
0.117	0.233473
0.118	0.23546
0.119	0.237446
0.12	0.239432
0.121	0.241417
0.122	0.243403
0.123	0.245388
0.124	0.247373
0.125	0.249357
0.126	0.251342
0.127	0.253326
0.128	0.25531
0.129	0.257293
0.13	0.259277
0.131	0.26126
0.132	0.263243
0.133	0.265225
0.134	0.267208
0.135	0.26919
0.136	0.271171
0.137	0.273153
0.138	0.275134
0.139	0.277115
0.14	0.279096
0.141	0.281076
0.142	0.283057
0.143	0.285036
0.144	0.287016
0.145	0.288995
0.146	0.290974
0.147	0.292953
0.148	0.294931
0.149	0.29691
0.15	0.298887
0.151	0.300865
0.152	0.302842
0.153	0.304819
0.154	0.306796
0.155	0.308772
0.156	0.310748
0.157	0.312724
0.158	0.314699
0.159	0.316674
0.16	0.318649
0.161	0.320624
0.162	0.322598
0.163	0.324572
0.164	0.326545
0.165	0.328518
0.166	0.330491
0.167	0.332464
0.168	0.334436
0.169	0.336408
0.17	0.338379
0.171	0.34035
0.172	0.342321
0.173	0.344292
0.174	0.346262
0.175	0.348231
0.176	0.350201
0.177	0.35217
0.178	0.354139
0.179	0.356107
0.18	0.358075
0.181	0.360043
0.182	0.36201
0.183	0.363977
0.184	0.365944
0.185	0.36791
0.186	0.369876
0.187	0.371841
0.188	0.373807
0.189	0.375771
0.19	0.377736
0.191	0.3797
0.192	0.381663
0.193	0.383627
0.194	0.385589
0.195	0.387552
0.196	0.389514
0.197	0.391476
0.198	0.393437
0.199	0.395398
0.2	0.397358
0.201	0.399319
0.202	0.401278
0.203	0.403238
0.204	0.405197
0.205	0.407155
0.206	0.409113
0.207	0.411071
0.208	0.413028
0.209	0.414985
0.21	0.416942
0.211	0.418898
0.212	0.420853
0.213	0.422809
0.214	0.424763
0.215	0.426718
0.216	0.428672
0.217	0.430625
0.218	0.432578
0.219	0.434531
0.22	0.436483
0.221	0.438435
0.222	0.440386
0.223	0.442337
0.224	0.444288
0.225	0.446238
0.226	0.448187
0.227	0.450136
0.228	0.452085
0.229	0.454033
0.23	0.455981
0.231	0.457929
0.232	0.459875
0.233	0.461822
0.234	0.463768
0.235	0.465713
0.236	0.467658
0.237	0.469603
0.238	0.471547
0.239	0.473491
0.24	0.475434
0.241	0.477376
0.242	0.479319
