t	y1
0	0
0.001	0.002
0.002	0.004
0.003	0.00599999
0.004	0.00799998
0.005	0.00999996
0.006	0.0119999
0.007	0.0139999
0.008	0.0159998
0.009	0.0179998
0.01	0.0199997
0.011	0.0219996
0.012	0.0239994
0.013	0.0259993
0.014	0.0279991
0.015	0.0299989
0.016	0.0319986
0.017	0.0339984
0.018	0.0359981
0.019	0.0379977
0.02	0.0399973
0.021	0.0419969
0.022	0.0439965
0.023	0.0459959
0.024	0.0479954
0.025	0.0499948
0.026	0.0519941
0.027	0.0539934
0.028	0.0559927
0.029	0.0579919
0.03	0.059991
0.031	0.0619901
0.032	0.0639891
0.033	0.065988
0.034	0.0679869
0.035	0.0699857
0.036	0.0719845
0.037	0.0739831
0.038	0.0759817
0.039	0.0779802
0.04	0.0799787
0.041	0.081977
0.042	0.0839753
0.043	0.0859735
0.044	0.0879716
0.045	0.0899696
0.046	0.0919676
0.047	0.0939654
0.048	0.0959631
0.049	0.0979608
0.05	0.0999583
0.051	0.101956
0.052	0.103953
0.053	0.10595
0.054	0.107948
0.055	0.109945
0.056	0.111941
0.057	0.113938
0.058	0.115935
0.059	0.117932
0.06	0.119928
0.061	0.121924
0.062	0.123921
0.063	0.125917
0.064	0.127913
0.065	0.129908
0.066	0.131904
0.067	0.1339
0.068	0.135895
0.069	0.137891
0.07	0.139886
0.071	0.141881
0.072	0.143876
0.073	0.14587
0.074	0.147865
0.075	0.149859
0.076	0.151854
0.077	0.153848
0.078	0.155842
0.079	0.157836
0.08	0.159829
0.081	0.161823
0.082	0.163816
0.083	0.165809
0.084	0.167803
0.085	0.169795
0.086	0.171788
0.087	0.173781
0.088	0.175773
0.089	0.177765
0.09	0.179757
0.091	0.181749
0.092	0.183741
0.093	0.185732
0.094	0.187723
0.095	0.189714
0.096	0.191705
0.097	0.193696
0.098	0.195686
0.099	0.197677
0.1	0.199667
0.101	0.201657
0.102	0.203646
0.103	0.205636
0.104	0.207625
0.105	0.209614
0.106	0.211603
0.107	0.213592
0.108	0.21558
0.109	0.217569
0.11	0.219557
0.111	0.221544
0.112	0.223532
0.113	0.225519
0.114	0.227506
0.115	0.229493
0.116	0.23148
0.117	0.233467
0.118	0.235453
0.119	0.237439
0.12	0.239424
0.121	0.24141
0.122	0.243395
0.123	0.24538
0.124	0.247365
0.125	0.249349
0.126	0.251334
0.127	0.253318
0.128	0.255302
0.129	0.257285
0.13	0.259268
0.131	0.261251
0.132	0.263234
0.133	0.265217
0.134	0.267199
0.135	0.269181
0.136	0.271162
0.137	0.273144
0.138	0.275125
0.139	0.277106
0.14	0.279086
0.141	0.281067
0.142	0.283047
0.143	0.285026
0.144	0.287006
0.145	0.288985
0.146	0.290964
0.147	0.292942
0.148	0.294921
0.149	0.296899
0.15	0.298876
0.151	0.300854
0.152	0.302831
0.153	0.304808
0.154	0.306784
0.155	0.30876
0.156	0.310736
0.157	0.312712
0.158	0.314687
0.159	0.316662
0.16	0.318636
0.161	0.320611
0.162	0.322585
0.163	0.324558
0.164	0.326532
0.165	0.328505
0.166	0.330477
0.167	0.33245
0.168	0.334422
0.169	0.336393
0.17	0.338365
0.171	0.340336
0.172	0.342306
0.173	0.344277
0.174	0.346247
0.175	0.348216
0.176	0.350186
0.177	0.352155
0.178	0.354123
0.179	0.356091
0.18	0.358059
0.181	0.360027
0.182	0.361994
0.183	0.363961
0.184	0.365927
0.185	0.367893
0.186	0.369859
0.187	0.371824
0.188	0.373789
0.189	0.375754
0.19	0.377718
0.191	0.379682
0.192	0.381645
0.193	0.383608
0.194	0.385571
0.195	0.387533
0.196	0.389495
0.197	0.391457
0.198	0.393418
0.199	0.395378
0.2	0.397339
0.201	0.399299
0.202	0.401258
0.203	0.403217
0.204	0.405176
0.205	0.407134
0.206	0.409092
0.207	0.41105
0.208	0.413007
0.209	0.414964
0.21	0.41692
0.211	0.418876
0.212	0.420831
0.213	0.422786
0.214	0.424741
0.215	0.426695
0.216	0.428649
0.217	0.430602
0.218	0.432555
0.219	0.434507
0.22	0.436459
0.221	0.438411
0.222	0.440362
0.223	0.442313
0.224	0.444263
0.225	0.446213
0.226	0.448162
0.227	0.450111
0.228	0.45206
0.229	0.454008
0.23	0.455955
0.231	0.457902
0.232	0.459849
0.233	0.461795
0.234	0.463741
0.235	0.465686
0.236	0.467631
0.237	0.469575
0.238	0.471519
0.239	0.473462
0.24	0.475405
0.241	0.477348
0.242	0.47929
