t	y1	y2	y3
0	1	1	1
0.001	1	1.026	0.998333
0.002	1.00026	1.05198	0.996697
0.003	1.00078	1.07793	0.995092
0.004	1.00155	1.10388	0.993517
0.005	1.00257	1.12983	0.991973
0.006	1.00384	1.15577	0.99046
0.007	1.00536	1.18173	0.988979
0.008	1.00713	1.20771	0.98753
0.009	1.00913	1.2337	0.986113
0.01	1.01138	1.25973	0.984728
0.011	1.01386	1.28579	0.983377
0.012	1.01658	1.3119	0.982058
0.013	1.01954	1.33805	0.980773
0.014	1.02272	1.36426	0.979521
0.015	1.02614	1.39053	0.978305
0.016	1.02978	1.41687	0.977123
0.017	1.03365	1.44328	0.975976
0.018	1.03775	1.46977	0.974865
0.019	1.04207	1.49635	0.973791
0.02	1.04661	1.52301	0.972753
0.021	1.05137	1.54978	0.971753
0.022	1.05636	1.57664	0.970792
0.023	1.06156	1.60362	0.969868
0.024	1.06698	1.63071	0.968984
0.025	1.07262	1.65792	0.96814
0.026	1.07847	1.68526	0.967337
0.027	1.08454	1.71273	0.966575
0.028	1.09082	1.74033	0.965855
0.029	1.09732	1.76808	0.965178
0.03	1.10402	1.79598	0.964544
0.031	1.11094	1.82403	0.963955
0.032	1.11807	1.85224	0.96341
0.033	1.12542	1.88062	0.962912
0.034	1.13297	1.90917	0.962461
0.035	1.14073	1.93789	0.962057
0.036	1.1487	1.96679	0.961703
0.037	1.15688	1.99589	0.961397
0.038	1.16527	2.02517	0.961143
0.039	1.17387	2.05465	0.960939
0.04	1.18268	2.08434	0.960789
0.041	1.1917	2.11423	0.960692
0.042	1.20092	2.14434	0.960649
0.043	1.21036	2.17467	0.960663
0.044	1.22	2.20522	0.960733
0.045	1.22985	2.23601	0.960862
0.046	1.23991	2.26702	0.961049
0.047	1.25018	2.29828	0.961297
0.048	1.26066	2.32979	0.961607
0.049	1.27136	2.36154	0.96198
0.05	1.28226	2.39356	0.962417
0.051	1.29337	2.42583	0.96292
0.052	1.3047	2.45838	0.96349
0.053	1.31623	2.49119	0.964128
0.054	1.32798	2.52429	0.964836
0.055	1.33994	2.55766	0.965615
0.056	1.35212	2.59133	0.966467
0.057	1.36451	2.62529	0.967394
0.058	1.37712	2.65955	0.968396
0.059	1.38995	2.69412	0.969476
0.06	1.40299	2.729	0.970636
0.061	1.41625	2.76419	0.971876
0.062	1.42973	2.7997	0.973199
0.063	1.44343	2.83555	0.974607
0.064	1.45735	2.87172	0.976101
0.065	1.47149	2.90823	0.977683
0.066	1.48586	2.94509	0.979355
0.067	1.50045	2.98229	0.98112
0.068	1.51527	3.01985	0.982978
0.069	1.53032	3.05777	0.984933
0.07	1.54559	3.09605	0.986986
0.071	1.5611	3.1347	0.989139
0.072	1.57683	3.17374	0.991395
0.073	1.5928	3.21315	0.993755
0.074	1.609	3.25295	0.996223
0.075	1.62544	3.29315	0.998801
0.076	1.64212	3.33375	1.00149
0.077	1.65904	3.37475	1.00429
0.078	1.67619	3.41616	1.00721
0.079	1.69359	3.45799	1.01025
0.08	1.71124	3.50024	1.01342
0.081	1.72913	3.54292	1.0167
0.082	1.74727	3.58603	1.02012
0.083	1.76565	3.62959	1.02366
0.084	1.78429	3.67359	1.02734
0.085	1.80319	3.71804	1.03116
0.086	1.82233	3.76296	1.03511
0.087	1.84174	3.80833	1.03921
0.088	1.86141	3.85418	1.04345
0.089	1.88133	3.9005	1.04784
0.09	1.90153	3.94731	1.05239
0.091	1.92198	3.9946	1.05709
0.092	1.94271	4.04239	1.06195
0.093	1.96371	4.09068	1.06697
0.094	1.98498	4.13948	1.07216
0.095	2.00652	4.18879	1.07751
0.096	2.02834	4.23862	1.08305
0.097	2.05045	4.28898	1.08875
0.098	2.07283	4.33987	1.09465
0.099	2.0955	4.3913	1.10072
0.1	2.11846	4.44328	1.10699
0.101	2.14171	4.49581	1.11345
0.102	2.16525	4.54889	1.12011
0.103	2.18909	4.60255	1.12697
0.104	2.21322	4.65677	1.13404
0.105	2.23766	4.71157	1.14132
0.106	2.26239	4.76696	1.14882
0.107	2.28744	4.82294	1.15654
0.108	2.3128	4.87952	1.16449
0.109	2.33846	4.93671	1.17267
0.11	2.36445	4.99451	1.18109
0.111	2.39075	5.05292	1.18975
0.112	2.41737	5.11197	1.19866
0.113	2.44431	5.17164	1.20782
0.114	2.47159	5.23196	1.21724
0.115	2.49919	5.29293	1.22692
0.116	2.52713	5.35454	1.23688
0.117	2.5554	5.41682	1.24711
0.118	2.58402	5.47977	1.25763
0.119	2.61297	5.54339	1.26844
0.12	2.64228	5.6077	1.27954
0.121	2.67193	5.67269	1.29094
0.122	2.70194	5.73839	1.30266
0.123	2.7323	5.80478	1.31469
0.124	2.76303	5.87189	1.32704
0.125	2.79412	5.93972	1.33973
0.126	2.82557	6.00827	1.35275
0.127	2.8574	6.07755	1.36612
0.128	2.8896	6.14758	1.37985
0.129	2.92218	6.21835	1.39393
0.13	2.95514	6.28988	1.40838
0.131	2.98849	6.36218	1.42322
0.132	3.02223	6.43524	1.43843
0.133	3.05636	6.50908	1.45405
0.134	3.09089	6.5837	1.47006
0.135	3.12581	6.65912	1.48649
0.136	3.16115	6.73534	1.50334
0.137	3.19689	6.81236	1.52063
0.138	3.23304	6.8902	1.53835
0.139	3.26961	6.96886	1.55652
0.14	3.30661	7.04835	1.57516
0.141	3.34402	7.12868	1.59426
0.142	3.38187	7.20985	1.61385
0.143	3.42015	7.29188	1.63393
0.144	3.45887	7.37476	1.65451
0.145	3.49803	7.45851	1.67561
0.146	3.53763	7.54314	1.69723
0.147	3.57769	7.62865	1.71939
0.148	3.6182	7.71504	1.7421
0.149	3.65917	7.80233	1.76537
0.15	3.7006	7.89053	1.78921
0.151	3.7425	7.97963	1.81364
0.152	3.78487	8.06965	1.83866
0.153	3.82772	8.1606	1.8643
0.154	3.87104	8.25248	1.89057
0.155	3.91486	8.3453	1.91747
0.156	3.95916	8.43906	1.94503
0.157	4.00396	8.53378	1.97326
0.158	4.04926	8.62946	2.00216
0.159	4.09506	8.7261	2.03177
0.16	4.14137	8.82372	2.06208
0.161	4.1882	8.92231	2.09313
0.162	4.23554	9.02189	2.12491
0.163	4.2834	9.12246	2.15746
0.164	4.33179	9.22404	2.19078
0.165	4.38071	9.32661	2.22489
0.166	4.43017	9.4302	2.25982
0.167	4.48017	9.5348	2.29557
0.168	4.53072	9.64043	2.33217
0.169	4.58182	9.74708	2.36963
0.17	4.63347	9.85477	2.40797
0.171	4.68568	9.96349	2.44721
0.172	4.73846	10.0733	2.48737
0.173	4.79181	10.1841	2.52846
0.174	4.84573	10.2959	2.57052
0.175	4.90023	10.4089	2.61356
0.176	4.95532	10.5229	2.6576
0.177	5.011	10.6379	2.70265
0.178	5.06726	10.7541	2.74875
0.179	5.12413	10.8713	2.79592
0.18	5.1816	10.9895	2.84417
0.181	5.23968	11.1089	2.89352
0.182	5.29837	11.2293	2.94402
0.183	5.35768	11.3509	2.99566
0.184	5.41762	11.4735	3.04849
0.185	5.47817	11.5972	3.10252
0.186	5.53936	11.722	3.15778
0.187	5.60119	11.8479	3.21429
0.188	5.66366	11.9748	3.27208
0.189	5.72677	12.1029	3.33117
0.19	5.79053	12.2321	3.3916
0.191	5.85495	12.3623	3.45339
0.192	5.92002	12.4937	3.51656
0.193	5.98576	12.6262	3.58114
0.194	6.05216	12.7597	3.64717
0.195	6.11924	12.8943	3.71467
0.196	6.18699	13.03	3.78367
0.197	6.25542	13.1668	3.85419
0.198	6.32453	13.3047	3.92628
0.199	6.39433	13.4437	3.99996
0.2	6.46483	13.5837	4.07525
0.201	6.53602	13.7248	4.1522
0.202	6.6079	13.8669	4.23083
0.203	6.68049	14.0101	4.31118
0.204	6.75379	14.1543	4.39328
0.205	6.82779	14.2996	4.47716
0.206	6.90251	14.4459	4.56286
0.207	6.97795	14.5933	4.6504
0.208	7.0541	14.7416	4.73983
0.209	7.13098	14.8909	4.83118
0.21	7.20857	15.0413	4.92449
0.211	7.2869	15.1926	5.01978
0.212	7.36596	15.3448	5.1171
0.213	7.44575	15.498	5.21648
0.214	7.52627	15.6522	5.31797
0.215	7.60753	15.8072	5.42159
0.216	7.68953	15.9632	5.52739
0.217	7.77226	16.12	5.6354
0.218	7.85574	16.2777	5.74566
0.219	7.93996	16.4363	5.85821
0.22	8.02492	16.5957	5.97309
0.221	8.11063	16.7558	6.09034
0.222	8.19708	16.9168	6.21
0.223	8.28428	17.0785	6.33211
0.224	8.37222	17.2409	6.45671
0.225	8.46091	17.404	6.58383
0.226	8.55034	17.5678	6.71353
0.227	8.64052	17.7323	6.84584
0.228	8.73143	17.8973	6.9808
0.229	8.82309	18.0629	7.11845
0.23	8.91549	18.2291	7.25884
0.231	9.00863	18.3958	7.40201
0.232	9.1025	18.563	7.54799
0.233	9.1971	18.7306	7.69683
0.234	9.29244	18.8986	7.84857
0.235	9.3885	19.0669	8.00326
0.236	9.48528	19.2356	8.16092
0.237	9.58279	19.4045	8.32162
0.238	9.681	19.5737	8.48537
0.239	9.77993	19.7431	8.65224
0.24	9.87956	19.9125	8.82225
0.241	9.97989	20.0821	8.99545
0.242	10.0809	20.2517	9.17188
0.243	10.1826	20.4212	9.35158
0.244	10.285	20.5907	9.53458
0.245	10.3881	20.76	9.72093
0.246	10.4918	20.9291	9.91067
0.247	10.5962	21.098	10.1038
0.248	10.7012	21.2665	10.3004
0.249	10.8068	21.4347	10.5005
0.25	10.9131	21.6024	10.7042
0.251	11.02	21.7695	10.9114
0.252	11.1275	21.936	11.1222
0.253	11.2356	22.1019	11.3366
0.254	11.3442	22.267	11.5547
0.255	11.4535	22.4313	11.7765
0.256	11.5633	22.5947	12.002
0.257	11.6736	22.7571	12.2313
0.258	11.7844	22.9184	12.4643
0.259	11.8957	23.0786	12.7012
0.26	12.0076	23.2375	12.9418
0.261	12.1199	23.3951	13.1864
0.262	12.2326	23.5512	13.4347
0.263	12.3458	23.7058	13.687
0.264	12.4594	23.8588	13.9432
0.265	12.5734	24.0101	14.2033
0.266	12.6878	24.1596	14.4673
0.267	12.8025	24.3071	14.7352
