t	y1	y2	y3
0	1	1	1
0.01	1.013	1.25878	0.984856
0.02	1.0494	1.52194	0.973017
0.03	1.10771	1.79544	0.964974
0.04	1.18712	2.08488	0.961433
0.05	1.28742	2.39566	0.963341
0.06	1.40891	2.7331	0.971929
0.07	1.55238	3.1026	0.988767
0.08	1.71906	3.50971	1.01584
0.09	1.91061	3.96021	1.05566
0.1	2.12909	4.46016	1.11139
0.11	2.37693	5.01601	1.18696
0.12	2.657	5.63453	1.28736
0.13	2.97254	6.32282	1.41875
0.14	3.32716	7.08826	1.58887
0.15	3.72486	7.93835	1.80729
0.16	4.16995	8.88044	2.08585
0.17	4.66704	9.92139	2.4391
0.18	5.22089	11.067	2.88481
0.19	5.8363	12.3212	3.44444
0.2	6.51785	13.6848	4.14363
0.21	7.26962	15.1544	5.01246
0.22	8.09465	16.7199	6.08553
0.23	8.99439	18.3623	7.40139
0.24	9.9678	20.0508	9.00119
0.25	11.0103	21.7393	10.9261
0.26	12.1127	23.3637	13.2128
0.27	13.2594	24.8395	15.8876
0.28	14.4274	26.0619	18.957
0.29	15.5849	26.9091	22.3981
0.3	16.6909	27.2514	26.1478
0.31	17.696	26.966	30.0947
0.32	18.5446	25.9588	34.078
0.33	19.1796	24.1871	37.8962
0.34	19.5483	21.6806	41.3289
0.35	19.6098	18.5499	44.1689
0.36	19.3413	14.9785	46.2579
0.37	18.7428	11.1966	47.5146
0.38	17.8374	7.44321	47.9466
0.39	16.6683	3.92839	47.6418
0.4	15.2924	0.806174	46.7438
0.41	13.7725	-1.83631	45.4203
0.42	12.1706	-3.97419	43.8354
0.43	10.5425	-5.63055	42.1297
0.44	8.93436	-6.85886	40.4113
0.45	7.38199	-7.72709	38.7552
0.46	5.9108	-8.30579	37.2073
0.47	4.53716	-8.66065	35.791
0.48	3.27003	-8.84866	34.5136
0.49	2.11253	-8.91697	33.3719
0.5	1.06351	-8.90312	32.357
0.51	0.118813	-8.83622	31.4567
0.52	-0.727702	-8.7383	30.6581
0.53	-1.48337	-8.62572	29.9486
0.54	-2.15614	-8.51034	29.3166
0.55	-2.75411	-8.40064	28.752
0.56	-3.2853	-8.30245	28.2459
0.57	-3.75737	-8.21968	27.791
0.58	-4.17757	-8.15478	27.3814
0.59	-4.55262	-8.1091	27.0121
0.6	-4.88868	-8.08323	26.6792
0.61	-5.19135	-8.07714	26.3796
0.62	-5.46567	-8.09039	26.111
0.63	-5.71613	-8.12221	25.8716
0.64	-5.94673	-8.1716	25.6599
0.65	-6.16097	-8.23737	25.475
0.66	-6.36189	-8.31819	25.3163
0.67	-6.55211	-8.41264	25.1833
0.68	-6.73388	-8.51918	25.0758
0.69	-6.90907	-8.6362	24.9934
0.7	-7.07922	-8.762	24.9362
0.71	-7.24555	-8.8948	24.9042
0.72	-7.40899	-9.03276	24.8971
0.73	-7.57023	-9.17395	24.9149
0.74	-7.72967	-9.31637	24.9574
0.75	-7.88751	-9.45797	25.0242
0.76	-8.04371	-9.59661	25.1148
0.77	-8.19804	-9.73013	25.2286
0.78	-8.35008	-9.85633	25.3647
0.79	-8.49925	-9.97302	25.5219
0.8	-8.6448	-10.078	25.6988
0.81	-8.78587	-10.1692	25.8938
0.82	-8.92145	-10.2446	26.1047
0.83	-9.05049	-10.3024	26.3295
0.84	-9.17183	-10.3409	26.5653
0.85	-9.2843	-10.3587	26.8095
0.86	-9.38671	-10.3547	27.0589
0.87	-9.47791	-10.3282	27.3103
0.88	-9.55679	-10.2789	27.5601
0.89	-9.62235	-10.2067	27.805
0.9	-9.6737	-10.1123	28.0414
0.91	-9.71011	-9.99647	28.2659
0.92	-9.73102	-9.86072	28.4753
0.93	-9.7361	-9.70681	28.6664
0.94	-9.72522	-9.53689	28.8366
0.95	-9.69849	-9.35342	28.9835
0.96	-9.65627	-9.15912	29.1052
0.97	-9.59912	-8.95686	29.2002
0.98	-9.52787	-8.74961	29.2676
0.99	-9.44352	-8.54035	29.3068
1	-9.34728	-8.332	29.3178
1.01	-9.2405	-8.12735	29.301
1.02	-9.12468	-7.92898	29.2573
1.03	-9.00139	-7.73926	29.1878
1.04	-8.87227	-7.56027	29.094
1.05	-8.739	-7.39381	28.9778
1.06	-8.60323	-7.24137	28.841
1.07	-8.46662	-7.10413	28.6858
1.08	-8.33073	-6.98301	28.5142
1.09	-8.19706	-6.87863	28.3286
1.1	-8.06702	-6.79139	28.1311
1.11	-7.94191	-6.72147	27.924
1.12	-7.82291	-6.66886	27.7095
1.13	-7.71108	-6.63338	27.4896
1.14	-7.60735	-6.61474	27.2664
1.15	-7.51253	-6.61255	27.0418
1.16	-7.42733	-6.62632	26.8177
1.17	-7.35231	-6.65552	26.5959
1.18	-7.28795	-6.69957	26.3779
1.19	-7.23461	-6.75787	26.1655
1.2	-7.19258	-6.82977	25.9602
1.21	-7.16203	-6.91464	25.7634
1.22	-7.14308	-7.0118	25.5766
1.23	-7.13576	-7.12058	25.401
1.24	-7.14003	-7.24027	25.2381
1.25	-7.15579	-7.37016	25.0889
1.26	-7.18289	-7.50949	24.9548
1.27	-7.2211	-7.65744	24.8368
1.28	-7.27014	-7.81318	24.7361
1.29	-7.32969	-7.97577	24.6536
1.3	-7.39934	-8.14423	24.5904
1.31	-7.47865	-8.31747	24.5474
1.32	-7.56709	-8.4943	24.5253
1.33	-7.66407	-8.67343	24.525
1.34	-7.76894	-8.85347	24.5469
1.35	-7.88096	-9.03288	24.5915
1.36	-7.99931	-9.21002	24.6591
1.37	-8.12308	-9.38313	24.7499
1.38	-8.2513	-9.55032	24.8636
1.39	-8.38287	-9.70964	24.9999
1.4	-8.51663	-9.85903	25.1582
1.41	-8.65133	-9.99642	25.3375
1.42	-8.78563	-10.1197	25.5365
1.43	-8.91813	-10.2268	25.7537
1.44	-9.04735	-10.3157	25.9871
1.45	-9.1718	-10.3846	26.2343
1.46	-9.28992	-10.4318	26.4928
1.47	-9.40018	-10.4559	26.7595
1.48	-9.50108	-10.4558	27.0313
1.49	-9.59115	-10.4308	27.3047
1.5	-9.66904	-10.3806	27.5759
1.51	-9.73349	-10.3052	27.8413
1.52	-9.78343	-10.2054	28.0971
1.53	-9.81793	-10.0821	28.3397
1.54	-9.83632	-9.93707	28.5654
1.55	-9.83814	-9.77221	28.7711
1.56	-9.8232	-9.58997	28.9538
1.57	-9.79156	-9.3931	29.1111
1.58	-9.74357	-9.1846	29.2408
1.59	-9.67983	-8.96767	29.3416
1.6	-9.6012	-8.74558	29.4123
1.61	-9.50876	-8.5216	29.4525
1.62	-9.40382	-8.29893	29.4623
1.63	-9.28783	-8.08059	29.4422
1.64	-9.1624	-7.86937	29.3933
1.65	-9.02925	-7.66781	29.3168
1.66	-8.89013	-7.47812	29.2146
1.67	-8.74685	-7.30216	29.0885
1.68	-8.60119	-7.1415	28.9408
1.69	-8.45491	-6.99733	28.7737
1.7	-8.30967	-6.87054	28.5896
1.71	-8.16707	-6.76174	28.3909
1.72	-8.02858	-6.67127	28.18
1.73	-7.89558	-6.59922	27.9592
1.74	-7.76929	-6.54553	27.731
1.75	-7.6508	-6.50993	27.4974
1.76	-7.54109	-6.49207	27.2606
1.77	-7.44097	-6.49145	27.0226
1.78	-7.35116	-6.50754	26.7854
1.79	-7.27223	-6.53974	26.5508
1.8	-7.20464	-6.58741	26.3205
1.81	-7.14876	-6.6499	26.0962
1.82	-7.10485	-6.72652	25.8795
1.83	-7.07308	-6.81662	25.6718
1.84	-7.05354	-6.9195	25.4746
1.85	-7.04625	-7.03446	25.2892
1.86	-7.05116	-7.1608	25.1171
1.87	-7.06816	-7.29779	24.9595
1.88	-7.09707	-7.44466	24.8176
1.89	-7.13766	-7.60061	24.6926
1.9	-7.18965	-7.7648	24.5857
1.91	-7.25268	-7.93629	24.4979
1.92	-7.32635	-8.11407	24.4303
1.93	-7.41021	-8.29706	24.3839
1.94	-7.50371	-8.48405	24.3595
1.95	-7.60626	-8.67371	24.358
1.96	-7.71718	-8.8646	24.38
1.97	-7.83572	-9.05512	24.426
1.98	-7.96104	-9.24355	24.4964
1.99	-8.0922	-9.42803	24.5914
2	-8.22818	-9.60658	24.7108
2.01	-8.36786	-9.7771	24.8544
2.02	-8.51001	-9.93738	25.0216
2.03	-8.65331	-10.0852	25.2113
2.04	-8.79636	-10.2182	25.4224
2.05	-8.93766	-10.3342	25.6531
2.06	-9.07565	-10.4309	25.9015
2.07	-9.20871	-10.5063	26.165
2.08	-9.33518	-10.5586	26.441
2.09	-9.4534	-10.5861	26.7262
2.1	-9.56174	-10.5876	27.0171
2.11	-9.6586	-10.5623	27.3099
2.12	-9.7425	-10.5097	27.6008
2.13	-9.81207	-10.4298	27.8857
2.14	-9.86611	-10.3235	28.1603
2.15	-9.90361	-10.1918	28.4208
2.16	-9.9238	-10.0364	28.6633
2.17	-9.92619	-9.85948	28.8841
2.18	-9.91053	-9.66374	29.0802
2.19	-9.8769	-9.45218	29.2488
2.2	-9.82566	-9.2281	29.3876
2.21	-9.75746	-8.99501	29.4951
2.22	-9.67324	-8.7565	29.5701
2.23	-9.57417	-8.51616	29.6123
2.24	-9.46169	-8.27746	29.6217
2.25	-9.33737	-8.0437	29.5991
2.26	-9.20299	-7.81791	29.5455
2.27	-9.06039	-7.60279	29.4625
2.28	-8.91149	-7.40072	29.3521
2.29	-8.75824	-7.21366	29.2163
2.3	-8.60257	-7.04322	29.0577
2.31	-8.44636	-6.89063	28.8786
2.32	-8.29141	-6.75679	28.6816
2.33	-8.13942	-6.64225	28.4695
2.34	-7.99195	-6.5473	28.2447
2.35	-7.85046	-6.47198	28.0097
2.36	-7.71623	-6.41613	27.767
2.37	-7.59041	-6.37941	27.519
2.38	-7.474	-6.36137	27.2678
2.39	-7.36786	-6.36146	27.0156
2.4	-7.2727	-6.37904	26.7644
2.41	-7.1891	-6.41346	26.516
2.42	-7.11754	-6.46402	26.2723
2.43	-7.05838	-6.53001	26.0349
2.44	-7.01185	-6.61073	25.8056
2.45	-6.97813	-6.70547	25.5857
2.46	-6.9573	-6.81352	25.3768
2.47	-6.94936	-6.93417	25.1803
2.48	-6.95425	-7.06671	24.9976
2.49	-6.97184	-7.21041	24.8299
2.5	-7.00195	-7.36452	24.6787
2.51	-7.04434	-7.52824	24.5451
2.52	-7.09871	-7.70072	24.4303
2.53	-7.16472	-7.88105	24.3355
2.54	-7.24196	-8.06822	24.2617
2.55	-7.32996	-8.26114	24.2101
2.56	-7.42818	-8.45859	24.1816
2.57	-7.53602	-8.65923	24.1771
2.58	-7.6528	-8.86157	24.1974
2.59	-7.77775	-9.06398	24.243
2.6	-7.91002	-9.26466	24.3145
2.61	-8.04866	-9.46167	24.412
2.62	-8.1926	-9.65292	24.5356
2.63	-8.3407	-9.83616	24.6851
2.64	-8.49167	-10.0091	24.86
2.65	-8.64415	-10.1691	25.0592
2.66	-8.79665	-10.3139	25.2816
2.67	-8.94759	-10.441	25.5254
2.68	-9.09531	-10.5478	25.7887
2.69	-9.23808	-10.6321	26.0688
2.7	-9.37412	-10.6918	26.3627
2.71	-9.50163	-10.7251	26.6672
2.72	-9.61883	-10.7305	26.9786
2.73	-9.72399	-10.7069	27.2926
2.74	-9.81546	-10.6539	27.6052
2.75	-9.89172	-10.5713	27.9118
2.76	-9.95143	-10.4599	28.2079
2.77	-9.99347	-10.3208	28.4892
2.78	-10.017	-10.1558	28.7513
2.79	-10.0213	-9.96724	28.9904
2.8	-10.0062	-9.75802	29.2029
2.81	-9.97175	-9.53144	29.3859
2.82	-9.91824	-9.2911	29.5368
2.83	-9.8464	-9.04086	29.6538
2.84	-9.75721	-8.78467	29.7358
2.85	-9.65196	-8.52647	29.7824
2.86	-9.53217	-8.27007	29.7937
2.87	-9.39959	-8.01909	29.7703
2.88	-9.25611	-7.77682	29.7137
2.89	-9.10376	-7.54621	29.6255
2.9	-8.94462	-7.32979	29.5079
2.91	-8.7808	-7.12969	29.3633
2.92	-8.6144	-6.9476	29.1942
2.93	-8.44743	-6.78478	29.0034
2.94	-8.28185	-6.64214	28.7938
2.95	-8.11947	-6.52022	28.5681
2.96	-7.96197	-6.41924	28.3291
2.97	-7.8109	-6.33919	28.0795
2.98	-7.6676	-6.2798	27.8219
2.99	-7.5333	-6.24068	27.5587
3	-7.40905	-6.22126	27.2924
3.01	-7.29572	-6.22091	27.025
3.02	-7.19406	-6.23893	26.7587
3.03	-7.10467	-6.27457	26.4955
3.04	-7.02801	-6.32707	26.2372
3.05	-6.96446	-6.39569	25.9855
3.06	-6.91424	-6.47966	25.7421
3.07	-6.87752	-6.57825	25.5086
3.08	-6.85437	-6.69073	25.2865
3.09	-6.84478	-6.81639	25.0772
3.1	-6.84868	-6.9545	24.8821
3.11	-6.86593	-7.10435	24.7027
3.12	-6.89635	-7.26519	24.5402
3.13	-6.93968	-7.43625	24.3959
3.14	-6.99565	-7.6167	24.2712
3.15	-7.06388	-7.80564	24.1672
3.16	-7.14398	-8.00209	24.0851
3.17	-7.23549	-8.20497	24.026
3.18	-7.33786	-8.41307	23.9911
3.19	-7.45051	-8.62504	23.9813
3.2	-7.57275	-8.83938	23.9974
3.21	-7.70381	-9.05443	24.0402
3.22	-7.84285	-9.26835	24.1104
3.23	-7.98889	-9.47911	24.2083
3.24	-8.14087	-9.68452	24.3339
3.25	-8.29759	-9.88221	24.4873
3.26	-8.45776	-10.0697	24.668
3.27	-8.61995	-10.2443	24.8751
3.28	-8.78261	-10.4034	25.1075
3.29	-8.94408	-10.5441	25.3635
3.3	-9.10261	-10.6639	25.6409
3.31	-9.25634	-10.7602	25.9373
3.32	-9.40337	-10.8304	26.2496
