t	y1	y2
0	0	1
0.001	0.00099995	0.9999
0.002	0.0019998	0.999798
0.003	0.00299955	0.999696
0.004	0.00399919	0.999592
0.005	0.00499873	0.999488
0.006	0.00599816	0.999382
0.007	0.00699749	0.999276
0.008	0.00799672	0.999168
0.009	0.00899583	0.99906
0.01	0.00999484	0.998951
0.011	0.0109937	0.99884
0.012	0.0119925	0.998729
0.013	0.0129912	0.998616
0.014	0.0139897	0.998503
0.015	0.0149882	0.998389
0.016	0.0159865	0.998273
0.017	0.0169847	0.998157
0.018	0.0179828	0.99804
0.019	0.0189808	0.997922
0.02	0.0199787	0.997802
0.021	0.0209764	0.997682
0.022	0.021974	0.997561
0.023	0.0229715	0.997439
0.024	0.0239689	0.997315
0.025	0.0249662	0.997191
0.026	0.0259633	0.997066
0.027	0.0269603	0.99694
0.028	0.0279572	0.996813
0.029	0.0289539	0.996685
0.03	0.0299506	0.996555
0.031	0.030947	0.996425
0.032	0.0319434	0.996294
0.033	0.0329396	0.996162
0.034	0.0339357	0.996029
0.035	0.0349317	0.995895
0.036	0.0359275	0.99576
0.037	0.0369232	0.995624
0.038	0.0379188	0.995487
0.039	0.0389142	0.995349
0.04	0.0399095	0.99521
0.041	0.0409046	0.99507
0.042	0.0418996	0.99493
0.043	0.0428945	0.994788
0.044	0.0438892	0.994645
0.045	0.0448838	0.994501
0.046	0.0458782	0.994356
0.047	0.0468725	0.99421
0.048	0.0478666	0.994064
0.049	0.0488606	0.993916
0.05	0.0498544	0.993767
0.051	0.0508481	0.993617
0.052	0.0518417	0.993467
0.053	0.0528351	0.993315
0.054	0.0538283	0.993162
0.055	0.0548214	0.993009
0.056	0.0558143	0.992854
0.057	0.0568071	0.992699
0.058	0.0577997	0.992542
0.059	0.0587922	0.992385
0.06	0.0597845	0.992226
0.061	0.0607766	0.992067
0.062	0.0617686	0.991906
0.063	0.0627604	0.991745
0.064	0.0637521	0.991583
0.065	0.0647436	0.991419
0.066	0.0657349	0.991255
0.067	0.0667261	0.99109
0.068	0.0677171	0.990923
0.069	0.068708	0.990756
0.07	0.0696986	0.990588
0.071	0.0706891	0.990419
0.072	0.0716795	0.990248
0.073	0.0726696	0.990077
0.074	0.0736596	0.989905
0.075	0.0746494	0.989732
0.076	0.0756391	0.989558
0.077	0.0766286	0.989383
0.078	0.0776179	0.989207
0.079	0.078607	0.98903
0.08	0.0795959	0.988852
0.081	0.0805847	0.988673
0.082	0.0815733	0.988494
0.083	0.0825617	0.988313
0.084	0.0835499	0.988131
0.085	0.0845379	0.987948
0.086	0.0855258	0.987765
0.087	0.0865135	0.98758
0.088	0.0875009	0.987394
0.089	0.0884882	0.987208
0.09	0.0894754	0.98702
0.091	0.0904623	0.986831
0.092	0.091449	0.986642
0.093	0.0924356	0.986451
0.094	0.0934219	0.98626
0.095	0.0944081	0.986068
0.096	0.0953941	0.985874
0.097	0.0963798	0.98568
0.098	0.0973654	0.985485
0.099	0.0983508	0.985288
0.1	0.099336	0.985091
0.101	0.100321	0.984893
0.102	0.101306	0.984694
0.103	0.10229	0.984494
0.104	0.103275	0.984293
0.105	0.104259	0.984091
0.106	0.105243	0.983888
0.107	0.106227	0.983684
0.108	0.10721	0.983479
0.109	0.108194	0.983273
0.11	0.109177	0.983066
0.111	0.11016	0.982859
0.112	0.111143	0.98265
0.113	0.112125	0.98244
0.114	0.113107	0.98223
0.115	0.11409	0.982018
0.116	0.115071	0.981806
0.117	0.116053	0.981592
0.118	0.117035	0.981378
0.119	0.118016	0.981162
0.12	0.118997	0.980946
0.121	0.119978	0.980729
