t	y1	y2
0	0	1
0.001	0.00099975	0.999499
0.002	0.001999	0.998997
0.003	0.00299774	0.998494
0.004	0.00399598	0.997989
0.005	0.00499372	0.997482
0.006	0.00599095	0.996975
0.007	0.00698767	0.996465
0.008	0.00798388	0.995955
0.009	0.00897958	0.995443
0.01	0.00997476	0.994929
0.011	0.0109694	0.994415
0.012	0.0119636	0.993898
0.013	0.0129572	0.993381
0.014	0.0139504	0.992862
0.015	0.014943	0.992341
0.016	0.015935	0.991819
0.017	0.0169266	0.991296
0.018	0.0179176	0.990772
0.019	0.0189081	0.990246
0.02	0.0198981	0.989718
0.021	0.0208876	0.98919
0.022	0.0218765	0.988659
0.023	0.0228649	0.988128
0.024	0.0238528	0.987595
0.025	0.0248401	0.98706
0.026	0.0258269	0.986525
0.027	0.0268131	0.985988
0.028	0.0277988	0.985449
0.029	0.028784	0.984909
0.03	0.0297687	0.984368
0.031	0.0307528	0.983825
0.032	0.0317363	0.983281
0.033	0.0327193	0.982736
0.034	0.0337018	0.982189
0.035	0.0346837	0.981641
0.036	0.0356651	0.981092
0.037	0.0366459	0.980541
0.038	0.0376262	0.979988
0.039	0.0386059	0.979435
0.04	0.039585	0.97888
0.041	0.0405636	0.978323
0.042	0.0415417	0.977766
0.043	0.0425192	0.977207
0.044	0.0434961	0.976646
0.045	0.0444724	0.976084
0.046	0.0454482	0.975521
0.047	0.0464235	0.974957
0.048	0.0473982	0.974391
0.049	0.0483723	0.973823
0.05	0.0493458	0.973255
0.051	0.0503188	0.972685
0.052	0.0512912	0.972114
0.053	0.052263	0.971541
0.054	0.0532343	0.970967
0.055	0.0542049	0.970392
0.056	0.055175	0.969815
0.057	0.0561446	0.969237
0.058	0.0571135	0.968657
0.059	0.0580819	0.968077
0.06	0.0590497	0.967495
0.061	0.0600169	0.966911
0.062	0.0609835	0.966326
0.063	0.0619495	0.96574
0.064	0.062915	0.965153
0.065	0.0638798	0.964564
0.066	0.0648441	0.963974
0.067	0.0658078	0.963383
0.068	0.0667709	0.96279
0.069	0.0677334	0.962196
0.07	0.0686953	0.9616
0.071	0.0696566	0.961004
