x f(root) approx_root
1e-06 -2.41497e-07 1.36603
1.5e-06 -2.41497e-07 1.36603
2.25e-06 -1.56295e-06 1.36603
3.375e-06 1.07995e-06 1.36602
5.0625e-06 1.07995e-06 1.36602
7.59375e-06 6.36574e-06 1.36602
1.13906e-05 6.36574e-06 1.36602
1.70859e-05 -4.20585e-06 1.36603
2.56289e-05 -2.53493e-05 1.36604
3.84434e-05 -2.53493e-05 1.36604
5.7665e-05 -6.7637e-05 1.36606
8.64976e-05 -6.7637e-05 1.36606
0.000129746 -0.000152216 1.36611
0.00019462 -0.000152216 1.36611
0.000291929 -0.000321388 1.36621
0.000437894 1.69373e-05 1.36602
0.000656841 1.69373e-05 1.36602
0.000985261 -0.00065979 1.36641
0.00147789 -0.00065979 1.36641
0.00221684 -0.00201416 1.36719
0.00332526 0.000693359 1.36563
0.00498789 0.000693359 1.36563
0.00748183 -0.00472656 1.36875
0.0112227 -0.00472656 1.36875
0.0168341 0.00609375 1.3625
0.0252512 -0.015625 1.375
0.0378768 -0.015625 1.375
0.0568151 0.0275 1.35
0.0852227 0.0275 1.35
0.127834 0.11 1.3
0.191751 0.11 1.3
0.287627 -0.06 1.4
0.43144 0.26 1.2
0.64716 0.26 1.2
0.97074 0.5 0

