x error_bisection error_newton
1e-06 1.39428e-07 0
1.5e-06 1.39428e-07 0
2.25e-06 9.02368e-07 0
3.375e-06 6.23511e-07 0
5.0625e-06 6.23511e-07 0
7.59375e-06 3.67527e-06 0
1.13906e-05 3.67527e-06 0
1.70859e-05 2.42825e-06 1.5655e-10
2.56289e-05 1.46353e-05 1.5655e-10
3.84434e-05 1.46353e-05 1.5655e-10
5.7665e-05 3.90493e-05 1.5655e-10
8.64976e-05 3.90493e-05 1.5655e-10
0.000129746 8.78775e-05 1.5655e-10
0.00019462 8.78775e-05 1.5655e-10
0.000291929 0.000185534 1.5655e-10
0.000437894 9.77878e-06 1.5655e-10
0.000656841 9.77878e-06 1.5655e-10
0.000985261 0.000380846 1.5655e-10
0.00147789 0.000380846 1.5655e-10
0.00221684 0.0011621 1.5655e-10
0.00332526 0.000400404 1.5655e-10
0.00498789 0.000400404 1.5655e-10
0.00748183 0.0027246 1.64669e-05
0.0112227 0.0027246 1.64669e-05
0.0168341 0.0035254 1.64669e-05
0.0252512 0.0089746 1.64669e-05
0.0378768 0.0089746 1.64669e-05
0.0568151 0.0160254 1.64669e-05
0.0852227 0.0160254 1.64669e-05
0.127834 0.0660254 0.00535704
0.191751 0.0660254 0.00535704
0.287627 0.0339746 0.00535704
0.43144 0.166025 0.00535704
0.64716 0.166025 0.101832
0.97074 1.36603 0.101832

