x f(root) approx_root-root
1e-06 -2.41497e-07 1.39428e-07
1.5e-06 -2.41497e-07 1.39428e-07
2.25e-06 -1.56295e-06 9.02368e-07
3.375e-06 1.07995e-06 6.23511e-07
5.0625e-06 1.07995e-06 6.23511e-07
7.59375e-06 6.36574e-06 3.67527e-06
1.13906e-05 6.36574e-06 3.67527e-06
1.70859e-05 -4.20585e-06 2.42825e-06
2.56289e-05 -2.53493e-05 1.46353e-05
3.84434e-05 -2.53493e-05 1.46353e-05
5.7665e-05 -6.7637e-05 3.90493e-05
8.64976e-05 -6.7637e-05 3.90493e-05
0.000129746 -0.000152216 8.78775e-05
0.00019462 -0.000152216 8.78775e-05
0.000291929 -0.000321388 0.000185534
0.000437894 1.69373e-05 9.77878e-06
0.000656841 1.69373e-05 9.77878e-06
0.000985261 -0.00065979 0.000380846
0.00147789 -0.00065979 0.000380846
0.00221684 -0.00201416 0.0011621
0.00332526 0.000693359 0.000400404
0.00498789 0.000693359 0.000400404
0.00748183 -0.00472656 0.0027246
0.0112227 -0.00472656 0.0027246
0.0168341 0.00609375 0.0035254
0.0252512 -0.015625 0.0089746
0.0378768 -0.015625 0.0089746
0.0568151 0.0275 0.0160254
0.0852227 0.0275 0.0160254
0.127834 0.11 0.0660254
0.191751 0.11 0.0660254
0.287627 -0.06 0.0339746
0.43144 0.26 0.166025
0.64716 0.26 0.166025
0.97074 0.5 1.36603

