t	y1	y2
0	0	3
0.001	0.003	3
0.002	0.006	2.99999
0.003	0.00899999	2.99999
0.004	0.012	2.99998
0.005	0.0149999	2.99996
0.006	0.0179999	2.99995
0.007	0.0209998	2.99993
0.008	0.0239997	2.9999
0.009	0.0269996	2.99988
0.01	0.0299995	2.99985
0.011	0.0329993	2.99982
0.012	0.0359991	2.99978
0.013	0.0389989	2.99975
0.014	0.0419986	2.99971
0.015	0.0449983	2.99966
0.016	0.047998	2.99962
0.017	0.0509975	2.99957
0.018	0.0539971	2.99951
0.019	0.0569966	2.99946
0.02	0.059996	2.9994
0.021	0.0629954	2.99934
0.022	0.0659947	2.99927
0.023	0.0689939	2.99921
0.024	0.0719931	2.99914
0.025	0.0749922	2.99906
0.026	0.0779912	2.99899
0.027	0.0809902	2.99891
0.028	0.083989	2.99882
0.029	0.0869878	2.99874
0.03	0.0899865	2.99865
0.031	0.0929851	2.99856
0.032	0.0959836	2.99847
0.033	0.098982	2.99837
0.034	0.10198	2.99827
0.035	0.104979	2.99816
0.036	0.107977	2.99806
0.037	0.110975	2.99795
0.038	0.113973	2.99784
0.039	0.11697	2.99772
0.04	0.119968	2.9976
0.041	0.122966	2.99748
0.042	0.125963	2.99736
0.043	0.12896	2.99723
0.044	0.131957	2.9971
0.045	0.134954	2.99697
0.046	0.137951	2.99683
0.047	0.140948	2.99669
0.048	0.143945	2.99655
0.049	0.146941	2.99641
0.05	0.149938	2.99626
0.051	0.152934	2.99611
0.052	0.15593	2.99595
0.053	0.158926	2.9958
0.054	0.161921	2.99564
0.055	0.164917	2.99547
0.056	0.167912	2.99531
0.057	0.170908	2.99514
0.058	0.173903	2.99497
0.059	0.176897	2.99479
0.06	0.179892	2.99462
0.061	0.182887	2.99444
0.062	0.185881	2.99425
0.063	0.188875	2.99407
0.064	0.191869	2.99388
0.065	0.194863	2.99368
0.066	0.197857	2.99349
0.067	0.20085	2.99329
0.068	0.203843	2.99309
0.069	0.206836	2.99289
0.07	0.209829	2.99268
0.071	0.212821	2.99247
0.072	0.215814	2.99226
0.073	0.218806	2.99204
0.074	0.221798	2.99182
0.075	0.22479	2.9916
0.076	0.227781	2.99138
0.077	0.230772	2.99115
0.078	0.233763	2.99092
0.079	0.236754	2.99069
0.08	0.239745	2.99045
0.081	0.242735	2.99021
0.082	0.245725	2.98997
0.083	0.248715	2.98973
0.084	0.251705	2.98948
0.085	0.254694	2.98923
0.086	0.257683	2.98897
0.087	0.260672	2.98872
0.088	0.263661	2.98846
0.089	0.266649	2.9882
0.09	0.269637	2.98793
0.091	0.272625	2.98766
0.092	0.275612	2.98739
0.093	0.2786	2.98712
0.094	0.281587	2.98684
0.095	0.284573	2.98656
0.096	0.28756	2.98628
0.097	0.290546	2.986
0.098	0.293532	2.98571
0.099	0.296517	2.98542
0.1	0.299502	2.98512
0.101	0.302487	2.98483
0.102	0.305472	2.98453
0.103	0.308457	2.98423
0.104	0.311441	2.98392
0.105	0.314424	2.98361
0.106	0.317408	2.9833
0.107	0.320391	2.98299
0.108	0.323374	2.98267
0.109	0.326356	2.98235
0.11	0.329339	2.98203
0.111	0.33232	2.98171
0.112	0.335302	2.98138
0.113	0.338283	2.98105
0.114	0.341264	2.98072
0.115	0.344245	2.98038
0.116	0.347225	2.98004
0.117	0.350205	2.9797
0.118	0.353184	2.97935
0.119	0.356163	2.97901
0.12	0.359142	2.97866
0.121	0.362121	2.9783
0.122	0.365099	2.97795
0.123	0.368077	2.97759
0.124	0.371054	2.97723
0.125	0.374031	2.97686
0.126	0.377008	2.9765
0.127	0.379984	2.97613
0.128	0.38296	2.97576
0.129	0.385936	2.97538
0.13	0.388911	2.975
0.131	0.391886	2.97462
0.132	0.39486	2.97424
0.133	0.397834	2.97385
0.134	0.400808	2.97346
0.135	0.403781	2.97307
0.136	0.406754	2.97268
0.137	0.409726	2.97228
0.138	0.412698	2.97188
0.139	0.41567	2.97148
0.14	0.418641	2.97107
0.141	0.421612	2.97067
0.142	0.424583	2.97026
0.143	0.427553	2.96984
0.144	0.430522	2.96943
0.145	0.433492	2.96901
0.146	0.43646	2.96859
0.147	0.439429	2.96816
0.148	0.442397	2.96774
0.149	0.445364	2.96731
0.15	0.448331	2.96687
0.151	0.451298	2.96644
0.152	0.454264	2.966
0.153	0.45723	2.96556
0.154	0.460195	2.96512
0.155	0.46316	2.96467
0.156	0.466125	2.96423
0.157	0.469089	2.96377
0.158	0.472052	2.96332
0.159	0.475015	2.96287
0.16	0.477978	2.96241
0.161	0.48094	2.96195
0.162	0.483902	2.96148
0.163	0.486863	2.96101
0.164	0.489824	2.96055
0.165	0.492784	2.96007
0.166	0.495744	2.9596
0.167	0.498703	2.95912
0.168	0.501662	2.95864
0.169	0.504621	2.95816
0.17	0.507579	2.95768
0.171	0.510536	2.95719
0.172	0.513493	2.9567
0.173	0.516449	2.95621
0.174	0.519405	2.95571
0.175	0.522361	2.95521
0.176	0.525316	2.95471
0.177	0.52827	2.95421
0.178	0.531224	2.95371
0.179	0.534178	2.9532
0.18	0.537131	2.95269
0.181	0.540083	2.95217
0.182	0.543035	2.95166
0.183	0.545986	2.95114
0.184	0.548937	2.95062
0.185	0.551888	2.9501
0.186	0.554837	2.94957
0.187	0.557787	2.94904
0.188	0.560735	2.94851
0.189	0.563684	2.94798
0.19	0.566631	2.94744
0.191	0.569579	2.94691
0.192	0.572525	2.94637
0.193	0.575471	2.94582
0.194	0.578417	2.94528
0.195	0.581362	2.94473
0.196	0.584306	2.94418
0.197	0.58725	2.94363
0.198	0.590194	2.94307
0.199	0.593136	2.94251
0.2	0.596079	2.94195
0.201	0.59902	2.94139
0.202	0.601961	2.94083
0.203	0.604902	2.94026
0.204	0.607842	2.93969
0.205	0.610781	2.93912
0.206	0.61372	2.93854
0.207	0.616658	2.93796
0.208	0.619596	2.93738
0.209	0.622533	2.9368
0.21	0.62547	2.93622
0.211	0.628406	2.93563
0.212	0.631341	2.93504
0.213	0.634276	2.93445
0.214	0.63721	2.93386
0.215	0.640143	2.93326
0.216	0.643076	2.93266
0.217	0.646009	2.93206
0.218	0.648941	2.93146
0.219	0.651872	2.93085
0.22	0.654802	2.93025
0.221	0.657732	2.92964
0.222	0.660661	2.92902
0.223	0.66359	2.92841
0.224	0.666518	2.92779
0.225	0.669446	2.92717
0.226	0.672373	2.92655
0.227	0.675299	2.92593
0.228	0.678224	2.9253
0.229	0.681149	2.92467
0.23	0.684074	2.92404
0.231	0.686998	2.92341
0.232	0.689921	2.92277
0.233	0.692843	2.92213
0.234	0.695765	2.92149
0.235	0.698686	2.92085
0.236	0.701607	2.92021
0.237	0.704526	2.91956
0.238	0.707446	2.91891
0.239	0.710364	2.91826
0.24	0.713282	2.91761
0.241	0.7162	2.91695
0.242	0.719116	2.91629
0.243	0.722032	2.91564
0.244	0.724947	2.91497
0.245	0.727862	2.91431
0.246	0.730776	2.91364
0.247	0.733689	2.91297
0.248	0.736602	2.9123
0.249	0.739514	2.91163
0.25	0.742425	2.91096
0.251	0.745336	2.91028
0.252	0.748246	2.9096
0.253	0.751155	2.90892
0.254	0.754064	2.90823
0.255	0.756972	2.90755
0.256	0.759879	2.90686
0.257	0.762785	2.90617
0.258	0.765691	2.90548
0.259	0.768596	2.90478
0.26	0.771501	2.90409
0.261	0.774404	2.90339
0.262	0.777307	2.90269
0.263	0.78021	2.90199
0.264	0.783111	2.90128
0.265	0.786012	2.90058
0.266	0.788913	2.89987
0.267	0.791812	2.89916
0.268	0.794711	2.89844
0.269	0.797609	2.89773
0.27	0.800506	2.89701
0.271	0.803403	2.89629
0.272	0.806299	2.89557
0.273	0.809194	2.89485
0.274	0.812089	2.89413
0.275	0.814982	2.8934
0.276	0.817875	2.89267
0.277	0.820768	2.89194
0.278	0.823659	2.89121
0.279	0.82655	2.89047
0.28	0.82944	2.88974
0.281	0.83233	2.889
0.282	0.835218	2.88826
0.283	0.838106	2.88752
0.284	0.840993	2.88677
0.285	0.84388	2.88602
0.286	0.846765	2.88528
0.287	0.84965	2.88453
0.288	0.852534	2.88377
0.289	0.855418	2.88302
0.29	0.8583	2.88226
0.291	0.861182	2.88151
0.292	0.864063	2.88075
0.293	0.866944	2.87999
0.294	0.869823	2.87922
0.295	0.872702	2.87846
0.296	0.87558	2.87769
0.297	0.878458	2.87692
0.298	0.881334	2.87615
0.299	0.88421	2.87538
0.3	0.887085	2.8746
0.301	0.889959	2.87383
0.302	0.892833	2.87305
0.303	0.895705	2.87227
0.304	0.898577	2.87149
0.305	0.901448	2.87071
0.306	0.904319	2.86992
0.307	0.907188	2.86913
0.308	0.910057	2.86834
0.309	0.912925	2.86755
0.31	0.915792	2.86676
0.311	0.918658	2.86597
0.312	0.921524	2.86517
0.313	0.924389	2.86438
0.314	0.927253	2.86358
0.315	0.930116	2.86278
0.316	0.932978	2.86197
0.317	0.93584	2.86117
