t	y1	y2
0	0	1
0.001	0.00099975	0.9995
0.002	0.001999	0.998999
0.003	0.00299775	0.998497
0.004	0.00399599	0.997994
0.005	0.00499373	0.997491
0.006	0.00599097	0.996987
0.007	0.00698771	0.996482
0.008	0.00798394	0.995976
0.009	0.00897966	0.99547
0.01	0.00997488	0.994963
0.011	0.0109696	0.994455
0.012	0.0119638	0.993946
0.013	0.0129575	0.993437
0.014	0.0139507	0.992927
0.015	0.0149433	0.992416
0.016	0.0159355	0.991905
0.017	0.0169271	0.991392
0.018	0.0179183	0.990879
0.019	0.0189089	0.990366
0.02	0.019899	0.989851
0.021	0.0208886	0.989336
0.022	0.0218777	0.98882
0.023	0.0228662	0.988303
0.024	0.0238543	0.987786
0.025	0.0248418	0.987268
0.026	0.0258288	0.986749
0.027	0.0268153	0.98623
0.028	0.0278013	0.985709
0.029	0.0287867	0.985188
0.03	0.0297717	0.984666
0.031	0.0307561	0.984144
0.032	0.0317399	0.983621
0.033	0.0327233	0.983097
0.034	0.0337061	0.982572
0.035	0.0346884	0.982047
0.036	0.0356702	0.981521
0.037	0.0366515	0.980994
0.038	0.0376322	0.980467
0.039	0.0386124	0.979938
0.04	0.0395921	0.979409
0.041	0.0405712	0.97888
0.042	0.0415499	0.978349
0.043	0.0425279	0.977818
0.044	0.0435055	0.977287
0.045	0.0444825	0.976754
0.046	0.045459	0.976221
0.047	0.046435	0.975687
0.048	0.0474104	0.975152
0.049	0.0483853	0.974617
0.05	0.0493596	0.974081
0.051	0.0503334	0.973544
0.052	0.0513067	0.973007
0.053	0.0522794	0.972469
0.054	0.0532516	0.97193
0.055	0.0542233	0.97139
0.056	0.0551944	0.97085
0.057	0.056165	0.970309
0.058	0.057135	0.969768
0.059	0.0581045	0.969225
0.06	0.0590735	0.968682
0.061	0.0600419	0.968138
0.062	0.0610098	0.967594
0.063	0.0619771	0.967049
0.064	0.0629439	0.966503
0.065	0.0639101	0.965957
0.066	0.0648758	0.965409
0.067	0.0658409	0.964862
0.068	0.0668055	0.964313
0.069	0.0677695	0.963764
0.07	0.068733	0.963214
0.071	0.069696	0.962663
0.072	0.0706583	0.962112
0.073	0.0716202	0.96156
0.074	0.0725815	0.961007
0.075	0.0735422	0.960454
0.076	0.0745024	0.9599
0.077	0.075462	0.959345
0.078	0.0764211	0.95879
0.079	0.0773796	0.958234
0.08	0.0783375	0.957677
0.081	0.0792949	0.957119
0.082	0.0802518	0.956561
0.083	0.081208	0.956002
0.084	0.0821638	0.955443
0.085	0.0831189	0.954883
0.086	0.0840735	0.954322
0.087	0.0850276	0.953761
0.088	0.0859811	0.953198
0.089	0.086934	0.952636
0.09	0.0878863	0.952072
0.091	0.0888381	0.951508
0.092	0.0897893	0.950943
0.093	0.09074	0.950378
0.094	0.0916901	0.949812
0.095	0.0926396	0.949245
0.096	0.0935886	0.948677
0.097	0.094537	0.948109
0.098	0.0954848	0.94754
0.099	0.0964321	0.946971
0.1	0.0973787	0.946401
0.101	0.0983249	0.94583
0.102	0.0992704	0.945259
0.103	0.100215	0.944687
0.104	0.10116	0.944114
0.105	0.102104	0.943541
0.106	0.103047	0.942967
0.107	0.10399	0.942392
0.108	0.104932	0.941817
0.109	0.105873	0.941241
0.11	0.106814	0.940664
0.111	0.107755	0.940087
0.112	0.108694	0.939509
0.113	0.109634	0.93893
0.114	0.110572	0.938351
0.115	0.11151	0.937771
0.116	0.112448	0.937191
0.117	0.113385	0.93661
0.118	0.114321	0.936028
0.119	0.115257	0.935445
0.12	0.116192	0.934862
0.121	0.117126	0.934279
0.122	0.11806	0.933694
0.123	0.118994	0.933109
0.124	0.119927	0.932524
0.125	0.120859	0.931938
0.126	0.12179	0.931351
0.127	0.122722	0.930763
0.128	0.123652	0.930175
0.129	0.124582	0.929586
0.13	0.125511	0.928997
0.131	0.12644	0.928407
0.132	0.127368	0.927816
0.133	0.128295	0.927225
0.134	0.129222	0.926633
0.135	0.130149	0.926041
0.136	0.131075	0.925448
0.137	0.132	0.924854
0.138	0.132924	0.92426
0.139	0.133848	0.923665
0.14	0.134772	0.923069
0.141	0.135694	0.922473
0.142	0.136616	0.921876
0.143	0.137538	0.921279
0.144	0.138459	0.920681
0.145	0.139379	0.920082
0.146	0.140299	0.919483
0.147	0.141218	0.918883
0.148	0.142137	0.918282
0.149	0.143055	0.917681
0.15	0.143972	0.917079
0.151	0.144889	0.916477
0.152	0.145805	0.915874
0.153	0.146721	0.915271
0.154	0.147636	0.914667
0.155	0.14855	0.914062
0.156	0.149464	0.913456
0.157	0.150377	0.912851
0.158	0.15129	0.912244
0.159	0.152202	0.911637
0.16	0.153113	0.911029
0.161	0.154024	0.910421
0.162	0.154934	0.909812
0.163	0.155843	0.909202
0.164	0.156752	0.908592
0.165	0.15766	0.907982
0.166	0.158568	0.90737
0.167	0.159475	0.906758
0.168	0.160382	0.906146
0.169	0.161287	0.905533
0.17	0.162193	0.904919
0.171	0.163097	0.904305
0.172	0.164001	0.90369
0.173	0.164905	0.903075
0.174	0.165807	0.902459
0.175	0.16671	0.901842
0.176	0.167611	0.901225
0.177	0.168512	0.900607
0.178	0.169412	0.899989
0.179	0.170312	0.89937
0.18	0.171211	0.898751
0.181	0.17211	0.898131
0.182	0.173007	0.89751
0.183	0.173905	0.896889
0.184	0.174801	0.896267
0.185	0.175697	0.895645
0.186	0.176592	0.895022
0.187	0.177487	0.894398
0.188	0.178381	0.893774
0.189	0.179275	0.89315
0.19	0.180168	0.892525
0.191	0.18106	0.891899
0.192	0.181951	0.891272
0.193	0.182842	0.890646
0.194	0.183733	0.890018
0.195	0.184622	0.88939
0.196	0.185511	0.888762
0.197	0.1864	0.888133
0.198	0.187288	0.887503
0.199	0.188175	0.886873
0.2	0.189061	0.886242
0.201	0.189947	0.885611
0.202	0.190833	0.884979
0.203	0.191717	0.884346
