t	y1	y2
0	0	1
0.001	0.00099905	0.998101
0.002	0.0019962	0.996205
0.003	0.00299146	0.994312
0.004	0.00398483	0.992421
0.005	0.0049763	0.990533
0.006	0.00596589	0.988647
0.007	0.0069536	0.986764
0.008	0.00793942	0.984883
0.009	0.00892337	0.983005
0.01	0.00990543	0.98113
0.011	0.0108856	0.979257
0.012	0.0118639	0.977387
0.013	0.0128404	0.975519
0.014	0.013815	0.973654
0.015	0.0147877	0.971792
0.016	0.0157586	0.969932
0.017	0.0167276	0.968075
0.018	0.0176947	0.96622
0.019	0.01866	0.964368
0.02	0.0196235	0.962518
0.021	0.0205851	0.960671
0.022	0.0215448	0.958826
0.023	0.0225027	0.956984
0.024	0.0234588	0.955145
0.025	0.024413	0.953308
0.026	0.0253654	0.951473
0.027	0.0263159	0.949641
0.028	0.0272647	0.947812
0.029	0.0282116	0.945985
0.03	0.0291566	0.944161
0.031	0.0300999	0.942339
0.032	0.0310413	0.94052
0.033	0.0319809	0.938703
0.034	0.0329187	0.936889
0.035	0.0338547	0.935077
0.036	0.0347889	0.933268
0.037	0.0357212	0.931461
0.038	0.0366518	0.929657
0.039	0.0375806	0.927855
0.04	0.0385075	0.926056
0.041	0.0394327	0.924259
0.042	0.040356	0.922465
0.043	0.0412776	0.920673
0.044	0.0421974	0.918884
0.045	0.0431154	0.917097
0.046	0.0440316	0.915313
0.047	0.044946	0.913531
0.048	0.0458586	0.911751
0.049	0.0467695	0.909974
0.05	0.0476786	0.9082
0.051	0.0485859	0.906428
0.052	0.0494914	0.904658
0.053	0.0503952	0.902891
0.054	0.0512972	0.901127
0.055	0.0521975	0.899364
0.056	0.053096	0.897605
0.057	0.0539927	0.895847
0.058	0.0548877	0.894092
0.059	0.0557809	0.89234
0.06	0.0566723	0.89059
0.061	0.0575621	0.888842
0.062	0.05845	0.887097
0.063	0.0593362	0.885355
0.064	0.0602207	0.883614
0.065	0.0611035	0.881877
0.066	0.0619845	0.880141
0.067	0.0628638	0.878408
0.068	0.0637413	0.876678
0.069	0.0646171	0.874949
0.07	0.0654912	0.873224
0.071	0.0663636	0.8715
0.072	0.0672342	0.869779
0.073	0.0681031	0.868061
0.074	0.0689703	0.866345
0.075	0.0698358	0.864631
0.076	0.0706996	0.862919
0.077	0.0715617	0.86121
0.078	0.072422	0.859504
0.079	0.0732807	0.8578
0.08	0.0741376	0.856098
0.081	0.0749929	0.854398
0.082	0.0758464	0.852701
0.083	0.0766983	0.851006
0.084	0.0775484	0.849314
0.085	0.0783969	0.847624
0.086	0.0792437	0.845936
0.087	0.0800888	0.844251
0.088	0.0809322	0.842568
0.089	0.0817739	0.840888
0.09	0.0826139	0.83921
0.091	0.0834523	0.837534
0.092	0.084289	0.83586
0.093	0.085124	0.834189
0.094	0.0859574	0.83252
0.095	0.0867891	0.830854
0.096	0.0876191	0.82919
0.097	0.0884475	0.827528
0.098	0.0892742	0.825868
0.099	0.0900992	0.824211
0.1	0.0909226	0.822556
