t	y1	y2
0	0	1
0.001	0.0009999	0.9998
0.002	0.0019996	0.999598
0.003	0.0029991	0.999396
0.004	0.00399839	0.999192
0.005	0.00499748	0.998988
0.006	0.00599637	0.998783
0.007	0.00699505	0.998577
0.008	0.00799352	0.998369
0.009	0.00899178	0.998161
0.01	0.00998984	0.997952
0.011	0.0109877	0.997742
0.012	0.0119853	0.997531
0.013	0.0129827	0.997319
0.014	0.01398	0.997106
0.015	0.014977	0.996892
0.016	0.0159737	0.996677
0.017	0.0169703	0.996462
0.018	0.0179667	0.996245
0.019	0.0189628	0.996027
0.02	0.0199587	0.995809
0.021	0.0209544	0.995589
0.022	0.0219499	0.995368
0.023	0.0229452	0.995147
0.024	0.0239402	0.994924
0.025	0.024935	0.994701
0.026	0.0259296	0.994477
0.027	0.026924	0.994251
0.028	0.0279181	0.994025
0.029	0.028912	0.993798
0.03	0.0299057	0.99357
0.031	0.0308991	0.993341
0.032	0.0318924	0.993111
0.033	0.0328854	0.99288
0.034	0.0338781	0.992648
0.035	0.0348707	0.992415
0.036	0.035863	0.992181
0.037	0.036855	0.991946
0.038	0.0378469	0.991711
0.039	0.0388384	0.991474
0.04	0.0398298	0.991236
0.041	0.0408209	0.990998
0.042	0.0418118	0.990758
0.043	0.0428024	0.990518
0.044	0.0437928	0.990277
0.045	0.044783	0.990034
0.046	0.0457729	0.989791
0.047	0.0467626	0.989547
0.048	0.047752	0.989302
0.049	0.0487412	0.989056
0.05	0.0497301	0.988809
0.051	0.0507188	0.988561
0.052	0.0517072	0.988312
0.053	0.0526954	0.988062
0.054	0.0536834	0.987811
0.055	0.054671	0.98756
0.056	0.0556585	0.987307
0.057	0.0566457	0.987053
0.058	0.0576326	0.986799
0.059	0.0586192	0.986543
0.06	0.0596057	0.986287
0.061	0.0605918	0.98603
0.062	0.0615777	0.985772
0.063	0.0625634	0.985512
0.064	0.0635487	0.985252
0.065	0.0645339	0.984991
0.066	0.0655187	0.984729
0.067	0.0665033	0.984466
0.068	0.0674877	0.984203
0.069	0.0684717	0.983938
0.07	0.0694555	0.983672
0.071	0.0704391	0.983406
0.072	0.0714223	0.983138
0.073	0.0724054	0.98287
0.074	0.0733881	0.9826
0.075	0.0743706	0.98233
0.076	0.0753527	0.982059
0.077	0.0763347	0.981787
0.078	0.0773163	0.981514
0.079	0.0782977	0.98124
0.08	0.0792788	0.980965
0.081	0.0802596	0.980689
0.082	0.0812402	0.980412
0.083	0.0822205	0.980134
0.084	0.0832004	0.979856
0.085	0.0841802	0.979576
0.086	0.0851596	0.979296
0.087	0.0861388	0.979014
0.088	0.0871176	0.978732
0.089	0.0880962	0.978449
0.09	0.0890745	0.978165
0.091	0.0900525	0.97788
0.092	0.0910303	0.977594
0.093	0.0920077	0.977307
0.094	0.0929849	0.977019
0.095	0.0939618	0.97673
0.096	0.0949384	0.976441
0.097	0.0959147	0.97615
0.098	0.0968907	0.975859
0.099	0.0978664	0.975566
0.1	0.0988418	0.975273
0.101	0.0998169	0.974979
0.102	0.100792	0.974684
0.103	0.101766	0.974388
0.104	0.102741	0.974091
