t	y1	y2
0	0	1
0.001	0.001	1
0.002	0.002	0.999999
0.003	0.003	0.999997
0.004	0.004	0.999994
0.005	0.00499999	0.99999
0.006	0.00599998	0.999985
0.007	0.00699997	0.999979
0.008	0.00799994	0.999972
0.009	0.00899992	0.999964
0.01	0.00999988	0.999955
0.011	0.0109998	0.999945
0.012	0.0119998	0.999934
0.013	0.0129997	0.999922
0.014	0.0139996	0.999909
0.015	0.0149995	0.999895
0.016	0.0159994	0.99988
0.017	0.0169993	0.999864
0.018	0.0179992	0.999847
0.019	0.018999	0.999829
0.02	0.0199989	0.99981
0.021	0.0209987	0.99979
0.022	0.0219985	0.999769
0.023	0.0229982	0.999747
0.024	0.023998	0.999724
0.025	0.0249977	0.9997
0.026	0.0259974	0.999675
0.027	0.0269971	0.999649
0.028	0.0279967	0.999622
0.029	0.0289963	0.999594
0.03	0.0299959	0.999565
0.031	0.0309955	0.999535
0.032	0.031995	0.999504
0.033	0.0329945	0.999472
0.034	0.033994	0.999439
0.035	0.0349935	0.999405
0.036	0.0359929	0.99937
0.037	0.0369922	0.999334
0.038	0.0379916	0.999297
0.039	0.0389909	0.999259
0.04	0.0399901	0.99922
0.041	0.0409893	0.99918
0.042	0.0419885	0.999139
0.043	0.0429877	0.999097
0.044	0.0439868	0.999054
0.045	0.0449858	0.99901
0.046	0.0459848	0.998965
0.047	0.0469838	0.998919
0.048	0.0479827	0.998872
0.049	0.0489816	0.998824
0.05	0.0499804	0.998775
0.051	0.0509792	0.998726
0.052	0.0519779	0.998675
0.053	0.0529766	0.998623
0.054	0.0539752	0.99857
0.055	0.0549738	0.998516
0.056	0.0559723	0.998461
0.057	0.0569707	0.998405
0.058	0.0579692	0.998348
0.059	0.0589675	0.99829
0.06	0.0599658	0.998231
0.061	0.060964	0.998171
0.062	0.0619622	0.99811
0.063	0.0629603	0.998048
0.064	0.0639584	0.997985
0.065	0.0649563	0.997921
0.066	0.0659543	0.997856
0.067	0.0669521	0.997791
0.068	0.0679499	0.997724
0.069	0.0689476	0.997656
0.07	0.0699453	0.997587
0.071	0.0709429	0.997517
0.072	0.0719404	0.997446
0.073	0.0729378	0.997374
0.074	0.0739352	0.997301
0.075	0.0749325	0.997227
0.076	0.0759297	0.997153
0.077	0.0769269	0.997077
0.078	0.077924	0.997
0.079	0.078921	0.996922
0.08	0.0799179	0.996843
0.081	0.0809147	0.996763
0.082	0.0819115	0.996683
0.083	0.0829082	0.996601
0.084	0.0839048	0.996518
0.085	0.0849013	0.996434
0.086	0.0858977	0.996349
0.087	0.0868941	0.996264
0.088	0.0878903	0.996177
0.089	0.0888865	0.996089
0.09	0.0898826	0.996
0.091	0.0908786	0.99591
0.092	0.0918745	0.99582
0.093	0.0928703	0.995728
0.094	0.0938661	0.995635
0.095	0.0948617	0.995541
0.096	0.0958572	0.995447
0.097	0.0968527	0.995351
0.098	0.097848	0.995254
0.099	0.0988433	0.995157
0.1	0.0998385	0.995058
0.101	0.100834	0.994958
0.102	0.101828	0.994858
0.103	0.102823	0.994756
0.104	0.103818	0.994653
0.105	0.104813	0.99455
0.106	0.105807	0.994445
0.107	0.106802	0.994339
0.108	0.107796	0.994233
0.109	0.10879	0.994125
0.11	0.109784	0.994017
0.111	0.110778	0.993907
0.112	0.111772	0.993797
0.113	0.112766	0.993685
0.114	0.11376	0.993573
0.115	0.114753	0.993459
0.116	0.115747	0.993345
0.117	0.11674	0.993229
0.118	0.117733	0.993113
0.119	0.118727	0.992995
0.12	0.11972	0.992877
0.121	0.120712	0.992757
0.122	0.121705	0.992637
0.123	0.122698	0.992515
0.124	0.12369	0.992393
0.125	0.124683	0.99227
0.126	0.125675	0.992145
0.127	0.126667	0.99202
0.128	0.127659	0.991894
0.129	0.128651	0.991766
0.13	0.129643	0.991638
0.131	0.130634	0.991509
0.132	0.131626	0.991378
0.133	0.132617	0.991247
0.134	0.133609	0.991115
0.135	0.1346	0.990982
0.136	0.135591	0.990848
0.137	0.136582	0.990712
0.138	0.137572	0.990576
0.139	0.138563	0.990439
0.14	0.139553	0.990301
0.141	0.140544	0.990162
0.142	0.141534	0.990022
0.143	0.142524	0.989881
0.144	0.143514	0.989739
0.145	0.144503	0.989596
0.146	0.145493	0.989452
0.147	0.146482	0.989307
0.148	0.147472	0.989161
0.149	0.148461	0.989014
0.15	0.14945	0.988866
0.151	0.150439	0.988717
0.152	0.151427	0.988567
0.153	0.152416	0.988416
0.154	0.153404	0.988264
0.155	0.154393	0.988112
0.156	0.155381	0.987958
