t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0	1	0	0	-1	0	0	0	0	0	0	0.4	0	0	-0.8	0.7	0	-0.8	0.7
0.01	0.999975	0.00399991	5.24996e-08	-0.99996	-0.00799996	0.00699998	5.99985e-05	-0.00799968	0.00699981	-0.00499984	0.399973	1.57495e-05	0.00799994	-0.799988	0.699993	0.0119994	-0.799904	0.699944
0.02	0.9999	0.00799928	4.19971e-07	-0.99984	-0.0159997	0.0139998	0.000239977	-0.0159974	0.0139985	-0.00999871	0.399892	6.29925e-05	0.0159995	-0.799952	0.699972	0.0239953	-0.799616	0.699776
0.03	0.999775	0.0119976	1.41727e-06	-0.99964	-0.0239989	0.0209994	0.000539882	-0.0239914	0.020995	-0.0149956	0.399757	0.000141712	0.0239983	-0.799892	0.699937	0.0359842	-0.799136	0.699496
0.04	0.9996	0.0159942	3.35904e-06	-0.99936	-0.0319974	0.0279985	0.000959626	-0.0319795	0.0279881	-0.0199897	0.399568	0.00025188	0.031996	-0.799808	0.699888	0.0479627	-0.798465	0.699105
0.05	0.999375	0.0199888	6.55958e-06	-0.999	-0.039995	0.0349971	0.00149909	-0.03996	0.0349767	-0.0249798	0.399326	0.000393458	0.0399921	-0.7997	0.699825	0.0599271	-0.797602	0.698601
0.06	0.999101	0.0239806	1.13327e-05	-0.99856	-0.0479914	0.041995	0.00215811	-0.0479309	0.0419597	-0.0299651	0.399029	0.000566395	0.0479864	-0.799568	0.699748	0.0718741	-0.796549	0.697987
0.07	0.998776	0.0279692	1.79918e-05	-0.99804	-0.0559863	0.048992	0.0029365	-0.0558904	0.048936	-0.0349446	0.398679	0.000770629	0.0559784	-0.799411	0.699656	0.0838001	-0.795305	0.697261
0.08	0.998402	0.031954	2.68494e-05	-0.997441	-0.0639795	0.055988	0.00383403	-0.0638364	0.0559046	-0.0399174	0.398275	0.00100609	0.0639677	-0.799231	0.699551	0.0957018	-0.793871	0.696425
0.09	0.997978	0.0359345	3.82174e-05	-0.996761	-0.0719708	0.062983	0.00485044	-0.0717671	0.0628642	-0.0448825	0.397818	0.00127269	0.0719541	-0.799026	0.699432	0.107576	-0.792247	0.695478
0.1	0.997504	0.0399102	5.24068e-05	-0.996002	-0.0799599	0.0699766	0.00598544	-0.0796807	0.0698137	-0.0498389	0.397308	0.00157035	0.0799371	-0.798796	0.699298	0.119419	-0.790436	0.694421
0.11	0.996981	0.0438805	6.97275e-05	-0.995162	-0.0879466	0.0769689	0.0072387	-0.0875752	0.0767522	-0.0547858	0.396745	0.00189895	0.0879163	-0.798543	0.69915	0.131227	-0.788436	0.693254
0.12	0.996408	0.0478449	9.04885e-05	-0.994243	-0.0959307	0.0839596	0.00860985	-0.0954488	0.0836785	-0.0597222	0.396128	0.00225838	0.0958914	-0.798264	0.698988	0.142997	-0.78625	0.691979
0.13	0.995786	0.0518029	0.000114997	-0.993244	-0.103912	0.0909486	0.0100985	-0.1033	0.0905914	-0.0646472	0.39546	0.00264852	0.103862	-0.797962	0.698811	0.154727	-0.783877	0.690595
0.14	0.995115	0.0557539	0.000143561	-0.992166	-0.11189	0.0979357	0.0117042	-0.111126	0.09749	-0.0695598	0.394738	0.00306923	0.111828	-0.797634	0.69862	0.166411	-0.78132	0.689103
0.15	0.994395	0.0596975	0.000176483	-0.991008	-0.119864	0.104921	0.0134266	-0.118925	0.104373	-0.0744593	0.393965	0.00352037	0.119789	-0.797282	0.698414	0.178049	-0.778579	0.687504
0.16	0.993626	0.063633	0.000214069	-0.98977	-0.127835	0.111904	0.015265	-0.126697	0.11124	-0.0793447	0.39314	0.00400179	0.127744	-0.796904	0.698194	0.189635	-0.775655	0.685799
0.17	0.992808	0.0675601	0.00025662	-0.988453	-0.135802	0.118885	0.0172191	-0.134438	0.118089	-0.0842151	0.392263	0.00451333	0.135693	-0.796502	0.697959	0.201167	-0.77255	0.683987
0.18	0.991942	0.0714781	0.000304436	-0.987056	-0.143765	0.125863	0.0192882	-0.142147	0.124919	-0.0890696	0.391335	0.00505482	0.143636	-0.796074	0.69771	0.212643	-0.769264	0.682071
0.19	0.991027	0.0753866	0.000357815	-0.98558	-0.151724	0.132839	0.0214718	-0.149823	0.13173	-0.0939075	0.390355	0.00562607	0.151572	-0.795621	0.697446	0.224058	-0.7658	0.68005
0.2	0.990064	0.079285	0.000417056	-0.984025	-0.159678	0.139812	0.0237691	-0.157462	0.13852	-0.0987279	0.389325	0.00622689	0.159502	-0.795143	0.697167	0.23541	-0.762159	0.677926
0.21	0.989053	0.0831729	0.000482451	-0.98239	-0.167627	0.146782	0.0261797	-0.165065	0.145288	-0.10353	0.388245	0.00685711	0.167424	-0.794638	0.696872	0.246696	-0.758341	0.675699
0.22	0.987993	0.0870498	0.000554295	-0.980677	-0.17557	0.153749	0.0287028	-0.172629	0.152033	-0.108313	0.387115	0.0075165	0.175339	-0.794108	0.696563	0.257913	-0.75435	0.673371
0.23	0.986886	0.0909151	0.000632878	-0.978884	-0.183509	0.160713	0.0313377	-0.180152	0.158755	-0.113076	0.385935	0.00820487	0.183246	-0.793552	0.696239	0.269058	-0.750186	0.670942
0.24	0.985732	0.0947683	0.000718488	-0.977012	-0.191441	0.167674	0.0340837	-0.187632	0.165452	-0.117818	0.384705	0.00892199	0.191144	-0.79297	0.695899	0.280128	-0.745851	0.668413
0.25	0.98453	0.098609	0.000811413	-0.975061	-0.199368	0.174631	0.03694	-0.195068	0.172123	-0.122539	0.383427	0.00966764	0.199035	-0.792361	0.695544	0.291121	-0.741346	0.665785
0.26	0.983281	0.102437	0.000911935	-0.973031	-0.207288	0.181585	0.0399059	-0.202458	0.178767	-0.127238	0.3821	0.0104416	0.206916	-0.791726	0.695174	0.302034	-0.736674	0.66306
0.27	0.981986	0.106251	0.00102034	-0.970922	-0.215202	0.188535	0.0429805	-0.209801	0.185384	-0.131913	0.380725	0.0112436	0.214788	-0.791064	0.694788	0.312865	-0.731836	0.660238
0.28	0.980643	0.110051	0.0011369	-0.968735	-0.22311	0.195481	0.0461629	-0.217094	0.191972	-0.136565	0.379303	0.0120735	0.222651	-0.790376	0.694386	0.32361	-0.726835	0.65732
0.29	0.979254	0.113837	0.0012619	-0.96647	-0.23101	0.202422	0.0494524	-0.224337	0.19853	-0.141193	0.377833	0.0129309	0.230504	-0.78966	0.693968	0.334267	-0.721671	0.654308
0.3	0.977819	0.117608	0.00139561	-0.964125	-0.238903	0.20936	0.052848	-0.231527	0.205058	-0.145795	0.376316	0.0138157	0.238347	-0.788916	0.693535	0.344835	-0.716348	0.651203
0.31	0.976338	0.121363	0.0015383	-0.961703	-0.246788	0.216293	0.0563488	-0.238664	0.211554	-0.150372	0.374753	0.0147275	0.246179	-0.788146	0.693085	0.35531	-0.710866	0.648005
0.32	0.974812	0.125102	0.00169025	-0.959202	-0.254666	0.223222	0.0599538	-0.245744	0.218017	-0.154923	0.373144	0.0156661	0.254002	-0.787347	0.692619	0.36569	-0.705228	0.644716
0.33	0.97324	0.128826	0.00185171	-0.956623	-0.262535	0.230145	0.0636622	-0.252768	0.224448	-0.159446	0.371489	0.0166313	0.261813	-0.786521	0.692137	0.375973	-0.699436	0.641338
0.34	0.971623	0.132532	0.00202296	-0.953965	-0.270396	0.237064	0.067473	-0.259732	0.230844	-0.163942	0.369789	0.0176228	0.269613	-0.785666	0.691638	0.386157	-0.693492	0.63787
0.35	0.969961	0.136221	0.00220426	-0.95123	-0.278248	0.243978	0.071385	-0.266637	0.237205	-0.16841	0.368045	0.0186403	0.277401	-0.784783	0.691123	0.396239	-0.687398	0.634315
0.36	0.968255	0.139893	0.00239586	-0.948417	-0.286091	0.250887	0.0753974	-0.27348	0.24353	-0.172849	0.366257	0.0196836	0.285178	-0.783871	0.690591	0.406219	-0.681156	0.630674
0.37	0.966504	0.143546	0.00259801	-0.945527	-0.293926	0.25779	0.079509	-0.28026	0.249818	-0.177259	0.364425	0.0207523	0.292943	-0.78293	0.690043	0.416092	-0.674768	0.626948
0.38	0.96471	0.147181	0.00281099	-0.942559	-0.30175	0.264687	0.0837189	-0.286975	0.256069	-0.181639	0.362549	0.0218462	0.300696	-0.78196	0.689477	0.425859	-0.668237	0.623138
0.39	0.962872	0.150797	0.00303502	-0.939513	-0.309565	0.271579	0.0880259	-0.293624	0.262281	-0.185988	0.360631	0.0229651	0.308436	-0.780961	0.688894	0.435517	-0.661564	0.619246
0.4	0.96099	0.154394	0.00327037	-0.93639	-0.317369	0.278465	0.0924289	-0.300206	0.268453	-0.190307	0.358671	0.0241086	0.316164	-0.779932	0.688294	0.445063	-0.654752	0.615272
0.41	0.959066	0.15797	0.00351727	-0.93319	-0.325163	0.285345	0.0969267	-0.306718	0.274586	-0.194594	0.356669	0.0252764	0.323878	-0.778874	0.687676	0.454497	-0.647803	0.611218
0.42	0.957099	0.161527	0.00377598	-0.929912	-0.332946	0.292219	0.101518	-0.313161	0.280677	-0.198849	0.354626	0.0264683	0.33158	-0.777785	0.687041	0.463817	-0.640718	0.607086
0.43	0.955089	0.165063	0.00404672	-0.926558	-0.340719	0.299086	0.106203	-0.319532	0.286727	-0.203072	0.352542	0.027684	0.339267	-0.776666	0.686388	0.473021	-0.633501	0.602876
0.44	0.953037	0.168578	0.00432974	-0.923127	-0.34848	0.305946	0.110978	-0.325831	0.292735	-0.207262	0.350417	0.0289233	0.346942	-0.775516	0.685718	0.482108	-0.626153	0.598589
0.45	0.950944	0.172071	0.00462526	-0.919619	-0.356229	0.3128	0.115844	-0.332055	0.298699	-0.211419	0.348253	0.0301857	0.354602	-0.774336	0.685029	0.491075	-0.618676	0.594228
0.46	0.948809	0.175543	0.00493353	-0.916035	-0.363966	0.319647	0.1208	-0.338204	0.304619	-0.215543	0.346049	0.0314712	0.362248	-0.773124	0.684322	0.499923	-0.611074	0.589793
0.47	0.946633	0.178992	0.00525476	-0.912375	-0.371691	0.326487	0.125843	-0.344276	0.310494	-0.219632	0.343807	0.0327793	0.369879	-0.771881	0.683597	0.508648	-0.603347	0.585286
0.48	0.944416	0.182419	0.00558919	-0.908638	-0.379404	0.333319	0.130972	-0.35027	0.316324	-0.223687	0.341526	0.0341098	0.377496	-0.770607	0.682854	0.517251	-0.595498	0.580707
